# target name                        accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  sq len strand   E-value  score  bias  description of target
#                ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
NODE_25613_length_1132_cov_14.159242 -          bacteria             -             1013    1515       2     502       1     510    1132    +      3e-137  464.0  10.2  -
NODE_69215_length_783_cov_2.383853   -          bacteria             -              930    1514     783     198     783     189     783    -    1.3e-136  461.9   8.0  -
NODE_30653_length_1057_cov_2.940816  -          bacteria             -             1013    1515       1     503       1     512    1057    +    2.7e-135  457.6   8.3  -
NODE_13264_length_1463_cov_3.969697  -          bacteria             -             1013    1514       1     504       1     513    1463    +    1.1e-134  455.6  13.1  -
NODE_273893_length_478_cov_1.588529  -          bacteria             -              345     815       1     472       1     478     478    +    3.5e-134  453.9  16.5  -
NODE_229907_length_510_cov_4.718245  -          bacteria             -             1013    1513     509       7     510       2     510    -    1.6e-132  448.4  13.1  -
NODE_286478_length_470_cov_2.687023  -          bacteria             -              330     797     470       2     470       1     470    -    1.1e-131  445.6  17.6  -
NODE_235987_length_505_cov_4.245327  -          bacteria             -              251     740       1     505       1     505     505    +    1.3e-131  445.4  32.5  -
NODE_280058_length_474_cov_6.430730  -          bacteria             -              335     805     474       2     474       1     474    -    4.5e-131  443.6  19.2  -
NODE_283259_length_472_cov_19.792405 -          bacteria             -              620    1083       2     471       1     472     472    +    4.6e-131  443.5  14.2  -
NODE_195526_length_542_cov_2.081720  -          bacteria             -              527    1064     542       1     542       1     542    -    1.7e-130  441.7   9.2  -
NODE_88457_length_718_cov_9.736349   -          bacteria             -               29     542     170     718     149     718     718    +    8.3e-129  436.1  23.4  -
NODE_64016_length_805_cov_2.559066   -          bacteria             -             1010    1514     767     270     789     261     805    -    1.1e-128  435.7   2.7  -
NODE_49222_length_886_cov_1.417800   -          bacteria             -               30     621     176     884     155     886     886    +    2.8e-128  434.4  14.0  -
NODE_316776_length_453_cov_1.247340  -          bacteria             -              920    1369     453       1     453       1     453    -    4.6e-126  427.0   9.3  -
NODE_315196_length_454_cov_1.007958  -          bacteria             -              924    1372     454       1     454       1     454    -    7.2e-125  423.0   5.0  -
NODE_107065_length_672_cov_1.689076  -          bacteria             -               31     598      83     672      62     672     672    +    7.8e-121  409.7  21.9  -
NODE_435775_length_402_cov_21.172308 -          bacteria             -             1014    1409       2     399       1     402     402    +    4.1e-116  394.0   8.3  -
NODE_432962_length_403_cov_2.220859  -          bacteria             -             1015    1413       2     399       1     403     403    +    8.1e-115  389.8   5.4  -
NODE_384998_length_421_cov_4.706395  -          bacteria             -              484     897       1     421       1     421     421    +    7.3e-111  376.6  14.1  -
NODE_551359_length_369_cov_12.804795 -          bacteria             -             1013    1379     369       2     369       1     369    -    7.8e-111  376.6   7.0  -
NODE_432918_length_403_cov_6.852761  -          bacteria             -              686    1081       2     403       1     403     403    +    3.2e-110  374.5  11.4  -
NODE_354804_length_434_cov_15.495798 -          bacteria             -              306     713     433       2     434       1     434    -    3.1e-109  371.3  18.7  -
NODE_220530_length_518_cov_18.435374 -          bacteria             -               37     487       7     517       2     518     518    +    3.5e-108  367.8  20.4  -
NODE_324873_length_449_cov_0.930108  -          bacteria             -              357     778     449       1     449       1     449    -    2.1e-107  365.2  22.0  -
NODE_555625_length_362_cov_19.235088 -          bacteria             -             1012    1372       2     362       1     362     362    +    8.8e-107  363.1   8.6  -
NODE_16155_length_1354_cov_21.691464 -          bacteria             -             1092    1514       2     427       1     436    1354    +      2e-104  355.4   9.6  -
NODE_432922_length_403_cov_3.355828  -          bacteria             -              399     797       1     401       1     403     403    +    5.2e-104  353.9  16.6  -
NODE_380248_length_423_cov_1.803468  -          bacteria             -              450     853     408       1     419       1     423    -    2.8e-101  344.9   9.3  -
NODE_555579_length_367_cov_32.975862 -          bacteria             -              821    1185       3     366       1     367     367    +    3.6e-101  344.6   6.1  -
NODE_856_length_4535_cov_19.581875   -          bacteria             -             1123    1514       3     396       1     405    4535    +     5.3e-99  337.4  10.4  -
NODE_555581_length_367_cov_5.724138  -          bacteria             -              848    1205     365       1     367       1     367    -     1.3e-98  336.1   9.8  -
NODE_460271_length_394_cov_6.041009  -          bacteria             -             1109    1495       4     391       1     394     394    +     2.6e-97  331.7  15.5  -
NODE_555825_length_337_cov_12.196154 -          bacteria             -              642     969     336       4     337       1     337    -     1.5e-96  329.3  10.8  -
NODE_555845_length_333_cov_9.601562  -          bacteria             -             1013    1342     332       1     333       1     333    -     3.7e-96  328.0   8.0  -
NODE_442142_length_400_cov_1.386997  -          bacteria             -              706    1087     398       3     400       1     400    -     1.2e-94  323.0   7.1  -
NODE_35379_length_1000_cov_3.400867  -          bacteria             -               28     414     414       2     435       1    1000    -     1.4e-94  322.8  16.7  -
NODE_555686_length_354_cov_3.642599  -          bacteria             -              460     810     354       3     354       1     354    -     1.5e-94  322.7  18.1  -
NODE_555902_length_326_cov_3.779116  -          bacteria             -             1047    1372       1     326       1     326     326    +     4.2e-94  321.1   5.9  -
NODE_555812_length_338_cov_11.570881 -          bacteria             -              850    1185       2     337       1     338     338    +       7e-94  320.4   7.8  -
NODE_555710_length_351_cov_6.664234  -          bacteria             -              460     807       1     349       1     351     351    +     1.4e-92  316.1  18.6  -
NODE_547250_length_370_cov_18.334471 -          bacteria             -              382     744       1     369       1     370     370    +     7.2e-92  313.7  15.2  -
NODE_556038_length_313_cov_3.093220  -          bacteria             -             1013    1323     313       2     313       1     313    -     2.7e-90  308.5   6.6  -
NODE_555832_length_336_cov_6.849421  -          bacteria             -              479     810     335       3     336       1     336    -     4.1e-90  307.9  16.7  -
NODE_555869_length_330_cov_1.786561  -          bacteria             -             1013    1339       1     329       1     330     330    +     7.3e-90  307.1   7.0  -
NODE_555718_length_349_cov_10.955882 -          bacteria             -             1122    1465       3     349       1     349     349    +     2.2e-89  305.5   9.8  -
NODE_556074_length_309_cov_27.900862 -          bacteria             -             1025    1332       1     309       1     309     309    +     7.8e-89  303.7   4.5  -
NODE_555855_length_332_cov_2.443137  -          bacteria             -              880    1209       1     332       1     332     332    +       2e-88  302.3   5.1  -
NODE_555959_length_320_cov_11.818930 -          bacteria             -              880    1199     320       1     320       1     320    -     5.2e-86  294.3   6.4  -
NODE_555735_length_347_cov_2.503704  -          bacteria             -              372     710     347       3     347       1     347    -     2.2e-83  285.7  15.2  -
NODE_35573_length_998_cov_5.279045   -          bacteria             -               28     380     616     998     595     998     998    +     3.5e-83  285.0  14.6  -
NODE_556018_length_315_cov_6.941176  -          bacteria             -              886    1199       1     315       1     315     315    +     6.5e-83  284.1   6.0  -
NODE_929_length_4344_cov_2.196625    -          bacteria             -               32     390    3953    4344    3931    4344    4344    +     8.1e-83  283.8  10.5  -
NODE_556071_length_310_cov_1.901288  -          bacteria             -              484     792     310       1     310       1     310    -     8.7e-83  283.7  11.2  -
NODE_555987_length_318_cov_8.294606  -          bacteria             -              491     806       1     317       1     318     318    +     5.8e-82  280.9  13.0  -
NODE_68483_length_786_cov_2.956276   -          bacteria             -               27     371     430     785     410     786     786    +     6.3e-82  280.8   8.7  -
NODE_556182_length_293_cov_11.375000 -          bacteria             -             1026    1317     293       1     293       1     293    -     1.1e-80  276.7   5.5  -
NODE_556039_length_313_cov_3.059322  -          bacteria             -              251     546       1     313       1     313     313    +     5.3e-80  274.5  19.2  -
NODE_1673_length_3345_cov_4.424113   -          bacteria             -              637    1504    1776    2700    1755    2719    3345    +     2.8e-78  268.8  11.6  -
NODE_555847_length_333_cov_2.984375  -          bacteria             -              339     666     333       1     333       1     333    -     5.7e-78  267.7  11.8  -
NODE_555828_length_337_cov_1.173077  -          bacteria             -               36     362      10     337       2     337     337    +     9.6e-77  263.7  11.8  -
NODE_556468_length_259_cov_11.802198 -          bacteria             -             1124    1380     258       2     259       1     259    -     1.6e-76  262.9   3.3  -
NODE_336982_length_443_cov_0.846995  -          bacteria             -             1152    1516     443      84     443      76     443    -     2.3e-76  262.4  11.0  -
NODE_556409_length_266_cov_74.306878 -          bacteria             -             1111    1374       2     266       1     266     266    +     4.9e-76  261.3   6.1  -
NODE_556494_length_257_cov_2.172222  -          bacteria             -              294     549       2     257       1     257     257    +     9.6e-76  260.3   8.5  -
NODE_556357_length_272_cov_13.194872 -          bacteria             -              295     560     271       1     272       1     272    -     1.9e-75  259.4  16.3  -
NODE_556156_length_299_cov_4.378378  -          bacteria             -              479     775     298       1     299       1     299    -     2.1e-75  259.2  14.5  -
NODE_556111_length_306_cov_2.655022  -          bacteria             -              460     764       1     306       1     306     306    +     2.1e-74  255.9  14.5  -
NODE_556410_length_266_cov_25.947090 -          bacteria             -              822    1085       2     266       1     266     266    +     6.1e-74  254.4   5.5  -
NODE_347234_length_438_cov_0.927978  -          bacteria             -               32     358     355       1     375       1     438    -     1.5e-72  249.8  16.6  -
NODE_556278_length_282_cov_1.341463  -          bacteria             -              519     796       2     280       1     282     282    +     3.5e-72  248.5  15.0  -
NODE_556110_length_306_cov_2.938865  -          bacteria             -              380     679     305       1     306       1     306    -     1.1e-71  246.9  12.0  -
NODE_556328_length_276_cov_13.437186 -          bacteria             -              626     896     276       1     276       1     276    -     1.3e-71  246.6   9.9  -
NODE_555979_length_319_cov_3.909091  -          bacteria             -              367     679       2     319       1     319     319    +     1.4e-71  246.6  11.7  -
NODE_556229_length_287_cov_3.085714  -          bacteria             -              623     897     281       1     286       1     287    -     1.5e-71  246.4  11.7  -
NODE_556499_length_256_cov_24.329609 -          bacteria             -              832    1084       1     254       1     256     256    +     1.5e-71  246.4   5.2  -
NODE_556214_length_289_cov_6.839623  -          bacteria             -              896    1182       1     289       1     289     289    +     5.6e-71  244.6   5.8  -
NODE_556469_length_259_cov_10.241758 -          bacteria             -              843    1101     259       2     259       1     259    -     4.7e-70  241.5   7.5  -
NODE_556282_length_281_cov_3.524510  -          bacteria             -              505     784       1     281       1     281     281    +     4.8e-70  241.5  13.6  -
NODE_556226_length_287_cov_5.295238  -          bacteria             -              504     789       1     287       1     287     287    +       6e-70  241.1  12.4  -
NODE_556458_length_260_cov_42.049180 -          bacteria             -              670     923       1     260       1     260     260    +     4.4e-69  238.3  14.6  -
NODE_556393_length_269_cov_1.286458  -          bacteria             -              497     764       1     269       1     269     269    +     2.8e-68  235.6  11.2  -
NODE_227515_length_512_cov_2.560920  -          bacteria             -               30     330     209     512     189     512     512    +     1.1e-67  233.6   5.1  -
NODE_19276_length_1265_cov_3.538721  -          bacteria             -               27     345     911    1265     891    1265    1265    +     1.8e-67  233.0   9.7  -
NODE_60969_length_819_cov_2.702156   -          bacteria             -               28     345     466     819     445     819     819    +     1.9e-67  232.9  10.5  -
NODE_555777_length_343_cov_9.428571  -          bacteria             -               50     356     343       1     343       1     343    -     5.4e-67  231.4  15.1  -
NODE_556454_length_261_cov_35.967391 -          bacteria             -              646     897     258       1     261       1     261    -     5.6e-67  231.3   9.2  -
NODE_556752_length_234_cov_9.063694  -          bacteria             -              330     563       1     234       1     234     234    +     1.8e-66  229.6   7.9  -
NODE_547273_length_370_cov_2.573379  -          bacteria             -               34     340      34     370      13     370     370    +     4.5e-66  228.3  13.0  -
NODE_17366_length_1316_cov_1.449556  -          bacteria             -               31     345     966    1316     946    1316    1316    +       6e-66  227.9  14.7  -
NODE_556404_length_267_cov_1.673684  -          bacteria             -              497     762     267       1     267       1     267    -     8.7e-66  227.4  11.7  -
NODE_555772_length_344_cov_3.202247  -          bacteria             -               38     341       5     344       1     344     344    +     1.3e-65  226.8  10.0  -
NODE_556429_length_264_cov_14.780749 -          bacteria             -              940    1202     264       1     264       1     264    -     3.3e-65  225.4   5.0  -
NODE_556728_length_236_cov_10.798742 -          bacteria             -              851    1085       1     236       1     236     236    +     6.5e-65  224.5   5.7  -
NODE_556708_length_237_cov_8.731250  -          bacteria             -              851    1084     237       1     237       1     237    -     9.2e-65  224.0   4.9  -
NODE_556542_length_252_cov_10.765714 -          bacteria             -              304     541     252       1     252       1     252    -     1.6e-64  223.2   8.9  -
NODE_51786_length_869_cov_2.073232   -          bacteria             -               30     345     350       1     370       1     869    -     3.2e-64  222.2  11.5  -
NODE_556727_length_236_cov_14.660377 -          bacteria             -              849    1083       3     236       1     236     236    +     4.2e-64  221.8   6.9  -
NODE_555888_length_328_cov_14.051793 -          bacteria             -               88     380     328       2     328       1     328    -     7.4e-64  221.0  11.4  -
NODE_58759_length_830_cov_3.262948   -          bacteria             -               29     335     488     830     466     830     830    +     7.7e-64  220.9  12.5  -
NODE_555989_length_318_cov_3.290456  -          bacteria             -               50     345     318       1     318       1     318    -     3.1e-63  218.9  13.5  -
NODE_556864_length_225_cov_13.155405 -          bacteria             -              859    1082     225       1     225       1     225    -     4.9e-63  218.2   3.8  -
NODE_555788_length_341_cov_3.284091  -          bacteria             -               42     345       1     341       1     341     341    +     9.1e-63  217.4  15.5  -
NODE_556762_length_233_cov_4.185897  -          bacteria             -              859    1085       1     232       1     233     233    +     1.3e-62  216.8   3.6  -
NODE_556875_length_224_cov_12.435374 -          bacteria             -              759     970     223       8     224       2     224    -       7e-62  214.4   4.2  -
NODE_556780_length_232_cov_37.541935 -          bacteria             -              227     451       1     225       1     231     232    +     7.2e-62  214.4  12.5  -
NODE_556754_length_234_cov_4.414013  -          bacteria             -             1026    1257       1     233       1     234     234    +     7.9e-62  214.2   6.5  -
NODE_556813_length_229_cov_2.888158  -          bacteria             -             1182    1409     229       2     229       1     229    -     6.6e-61  211.2   7.1  -
NODE_556828_length_227_cov_17.273333 -          bacteria             -              688     910       2     227       1     227     227    +     8.9e-61  210.8   6.8  -
NODE_556082_length_308_cov_3.679654  -          bacteria             -               75     356     308       1     308       1     308    -     2.5e-60  209.3   9.0  -
NODE_543991_length_371_cov_1.241497  -          bacteria             -               29     328      34     371      14     371     371    +     2.8e-60  209.1  13.4  -
NODE_556398_length_268_cov_3.204188  -          bacteria             -             1245    1509     268       3     268       1     268    -     6.1e-60  208.0   5.3  -
NODE_556296_length_280_cov_5.477833  -          bacteria             -             1228    1503       2     278       1     280     280    +     8.4e-60  207.5  11.5  -
NODE_557121_length_209_cov_1.492424  -          bacteria             -              722     925     206       1     209       1     209    -     2.3e-58  202.8   5.7  -
NODE_557164_length_206_cov_3.341085  -          bacteria             -              725     927       1     206       1     206     206    +     3.4e-58  202.2   7.9  -
NODE_556506_length_255_cov_8.016854  -          bacteria             -              453     697      10     254       2     255     255    +     3.7e-58  202.1   9.1  -
NODE_557230_length_203_cov_1.769841  -          bacteria             -             1013    1212       1     201       1     203     203    +     5.5e-58  201.5   5.0  -
NODE_557015_length_215_cov_2.275362  -          bacteria             -             1201    1410     214       5     215       1     215    -     1.1e-57  200.5   1.2  -
NODE_535744_length_373_cov_1.358108  -          bacteria             -               31     325     305       2     326       1     373    -       2e-57  199.7   8.4  -
NODE_557219_length_203_cov_3.801587  -          bacteria             -             1014    1215     203       3     203       1     203    -     2.7e-57  199.3   4.0  -
NODE_556855_length_226_cov_1.926174  -          bacteria             -              678     897       1     226       1     226     226    +     7.8e-57  197.7   9.6  -
NODE_557054_length_212_cov_6.014815  -          bacteria             -              880    1088       1     210       1     212     212    +     4.8e-56  195.1   3.9  -
NODE_556701_length_238_cov_18.086957 -          bacteria             -              332     543     237       1     238       1     238    -     7.1e-56  194.5   9.2  -
NODE_556707_length_237_cov_9.368750  -          bacteria             -              474     709     237       2     237       1     237    -     7.9e-56  194.4  11.6  -
NODE_556974_length_218_cov_2.056738  -          bacteria             -              878    1088       1     217       1     218     218    +     1.6e-55  193.3   3.2  -
NODE_535461_length_373_cov_1.597973  -          bacteria             -               31     309     318       2     339       1     373    -       2e-55  193.1  13.9  -
NODE_557096_length_210_cov_4.323308  -          bacteria             -              339     543     210       1     210       1     210    -     2.9e-55  192.5   6.0  -
NODE_556821_length_228_cov_3.655629  -          bacteria             -              538     764       1     228       1     228     228    +     2.6e-54  189.3   8.3  -
NODE_557107_length_210_cov_0.864662  -          bacteria             -              364     573       1     210       1     210     210    +     3.5e-54  188.9   4.1  -
NODE_557210_length_204_cov_1.362205  -          bacteria             -              880    1082       1     204       1     204     204    +     4.5e-54  188.6   2.7  -
NODE_557143_length_207_cov_4.061538  -          bacteria             -              880    1082       1     207       1     207     207    +     1.2e-53  187.2   2.5  -
NODE_557262_length_202_cov_25.728000 -          bacteria             -              723     919       1     202       1     202     202    +     1.7e-53  186.6   9.7  -
NODE_557337_length_198_cov_2.206612  -          bacteria             -              731     924       1     198       1     198     198    +     2.1e-53  186.4   7.7  -
NODE_557527_length_188_cov_3.045045  -          bacteria             -             1013    1199       1     188       1     188     188    +     2.5e-53  186.1   4.9  -
NODE_557551_length_187_cov_5.190909  -          bacteria             -             1015    1199     186       1     187       1     187    -       3e-53  185.8   4.4  -
NODE_556245_length_285_cov_4.461538  -          bacteria             -               86     346       1     285       1     285     285    +     4.2e-53  185.4   9.4  -
NODE_557445_length_193_cov_1.801724  -          bacteria             -              723     911       2     193       1     193     193    +     1.1e-52  183.9   5.2  -
NODE_210700_length_527_cov_7.422222  -          bacteria             -             1271    1515       1     248       1     257     527    +     1.3e-52  183.7   8.1  -
NODE_556199_length_291_cov_1.887850  -          bacteria             -               75     341     291       1     291       1     291    -     1.6e-52  183.4  13.9  -
NODE_557407_length_194_cov_20.564103 -          bacteria             -              736     924     193       1     194       1     194    -     6.7e-52  181.4   8.5  -
NODE_556815_length_229_cov_2.592105  -          bacteria             -              332     534       2     229       1     229     229    +     8.1e-52  181.1   7.5  -
NODE_556831_length_227_cov_5.433333  -          bacteria             -              330     531       1     227       1     227     227    +     1.2e-51  180.6   9.9  -
NODE_556003_length_317_cov_2.745833  -          bacteria             -               37     310     311       2     316       1     317    -     1.7e-51  180.0  13.0  -
NODE_102104_length_683_cov_2.912541  -          bacteria             -             1154    1513     681     333     683     322     683    -     1.8e-51  180.0   4.7  -
NODE_557589_length_185_cov_6.314815  -          bacteria             -             1014    1198     185       1     185       1     185    -       3e-51  179.2   4.8  -
NODE_555721_length_348_cov_5.531365  -          bacteria             -             1154    1507       3     345       1     348     348    +     3.9e-51  178.8   5.7  -
NODE_557088_length_211_cov_1.044776  -          bacteria             -              474     683     211       3     211       1     211    -     1.6e-50  176.8   6.6  -
NODE_556190_length_292_cov_6.809302  -          bacteria             -               88     345     292       1     292       1     292    -     5.7e-50  175.0  11.7  -
NODE_557786_length_175_cov_4.265306  -          bacteria             -             1011    1182       4     174       1     175     175    +     1.8e-49  173.3   3.2  -
NODE_556371_length_271_cov_5.675258  -          bacteria             -              114     356     265       1     271       1     271    -     2.7e-49  172.8  13.7  -
NODE_556970_length_218_cov_2.212766  -          bacteria             -              493     709     218       2     218       1     218    -     4.4e-49  172.0  10.3  -
NODE_557189_length_205_cov_2.609375  -          bacteria             -              886    1089     205       2     205       1     205    -     4.6e-49  172.0   5.4  -
NODE_557008_length_215_cov_5.159420  -          bacteria             -              489     701       2     214       1     215     215    +     6.6e-49  171.5   8.1  -
NODE_557645_length_183_cov_3.207547  -          bacteria             -              722     899       4     183       1     183     183    +     5.9e-48  168.3   3.9  -
NODE_557458_length_192_cov_1.452174  -          bacteria             -              895    1085       1     192       1     192     192    +     6.1e-48  168.3   4.7  -
NODE_557346_length_197_cov_14.050000 -          bacteria             -              892    1087     197       3     197       1     197    -     6.5e-48  168.2   4.6  -
NODE_557758_length_176_cov_26.202020 -          bacteria             -             1013    1186     176       2     176       1     176    -     9.2e-48  167.7   4.5  -
NODE_557095_length_210_cov_12.120301 -          bacteria             -              491     699     210       2     210       1     210    -     2.3e-47  166.4   8.0  -
NODE_426285_length_406_cov_0.781155  -          bacteria             -              397     629     155     403     135     406     406    +     2.5e-47  166.3  14.4  -
NODE_557522_length_188_cov_5.738739  -          bacteria             -              901    1086     188       2     188       1     188    -       4e-46  162.2   4.1  -
NODE_557673_length_181_cov_7.067308  -          bacteria             -              723     897       2     181       1     181     181    +     6.1e-46  161.6   6.3  -
NODE_557451_length_192_cov_10.947826 -          bacteria             -              907    1097     192       1     192       1     192    -     9.6e-46  161.0   4.0  -
NODE_557474_length_191_cov_4.201754  -          bacteria             -              896    1085     191       1     191       1     191    -     2.4e-45  159.7   3.4  -
NODE_557750_length_177_cov_4.470000  -          bacteria             -             1011    1182       5     177       1     177     177    +     2.8e-45  159.4   5.5  -
NODE_557452_length_192_cov_9.669565  -          bacteria             -              642     814       2     177       1     192     192    +     4.1e-45  158.9   8.4  -
NODE_556863_length_225_cov_17.986486 -          bacteria             -             1297    1513       1     220       1     225     225    +     2.9e-44  156.1   7.4  -
NODE_557325_length_199_cov_4.360656  -          bacteria             -              491     688     199       2     199       1     199    -     6.5e-44  154.9   8.1  -
NODE_557706_length_179_cov_3.049020  -          bacteria             -              624     796       3     176       1     179     179    +     1.2e-43  154.0  12.1  -
NODE_557969_length_164_cov_2.931034  -          bacteria             -             1025    1186     164       2     164       1     164    -     1.4e-43  153.8   4.7  -
NODE_557144_length_207_cov_3.315385  -          bacteria             -             1297    1497       1     205       1     207     207    +     5.1e-43  152.0   6.7  -
NODE_557860_length_170_cov_11.483871 -          bacteria             -              736     899       3     170       1     170     170    +     9.2e-43  151.1   7.5  -
NODE_557850_length_171_cov_38.361702 -          bacteria             -              731     897       1     171       1     171     171    +     1.1e-42  150.9   7.4  -
NODE_558085_length_158_cov_10.790123 -          bacteria             -              228     383       2     157       1     158     158    +     1.2e-42  150.7   6.0  -
NODE_558010_length_162_cov_11.411765 -          bacteria             -             1026    1185       1     161       1     162     162    +     1.3e-42  150.6   4.3  -
NODE_557187_length_205_cov_5.843750  -          bacteria             -              497     701       1     205       1     205     205    +     2.1e-42  149.9   8.3  -
NODE_557835_length_172_cov_6.852632  -          bacteria             -              734     899       2     171       1     172     172    +     2.7e-42  149.6   8.1  -
NODE_557936_length_166_cov_4.629213  -          bacteria             -              647     808       2     164       1     166     166    +     3.3e-42  149.3  10.0  -
NODE_387855_length_420_cov_1.419825  -          bacteria             -               31     255     193     420     171     420     420    +     5.6e-42  148.5   2.0  -
NODE_176665_length_563_cov_3.648148  -          bacteria             -             1305    1515     563     351     563     343     563    -       7e-42  148.2   3.3  -
NODE_557837_length_172_cov_6.452632  -          bacteria             -              735     899       2     171       1     172     172    +     1.6e-41  147.0   7.1  -
NODE_557891_length_168_cov_5.142857  -          bacteria             -              736     897     166       1     168       1     168    -       2e-41  146.7   7.1  -
NODE_558184_length_155_cov_7.192308  -          bacteria             -              283     435     154       2     155       1     155    -     6.3e-41  145.0   9.7  -
NODE_557808_length_173_cov_7.968750  -          bacteria             -              896    1067     173       1     173       1     173    -       9e-41  144.5   4.8  -
NODE_557186_length_205_cov_7.132812  -          bacteria             -             1297    1495     205       4     205       1     205    -     1.1e-40  144.3   9.6  -
NODE_557910_length_167_cov_3.244444  -          bacteria             -              735     895       2     167       1     167     167    +     3.3e-40  142.6   5.1  -
NODE_558173_length_155_cov_9.064103  -          bacteria             -             1027    1180       1     155       1     155     155    +     4.9e-40  142.1   4.2  -
NODE_558308_length_152_cov_9.973333  -          bacteria             -              648     796       1     150       1     152     152    +     2.1e-39  140.0   8.3  -
