# nhmmer :: search a DNA model, alignment, or sequence against a DNA database
# HMMER 3.4 (Aug 2023); http://hmmer.org/
# Copyright (C) 2023 Howard Hughes Medical Institute.
# Freely distributed under the BSD open source license.
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# query file:                      /opt/nesi/CS400_centos7_bdw/CheckM/1.2.3-foss-2023a-Python-3.11.6/data/hmms_ssu/SSU_euk.hmm
# target sequence database:        -
# output directed to file:         /nesi/nobackup/uoo04534/Norway/7_quality_second_check/6109_072_S129/ssu_finder/ssu.euk.txt
# hits tabular output:             /nesi/nobackup/uoo04534/Norway/7_quality_second_check/6109_072_S129/ssu_finder/ssu.euk.table.txt
# show alignments in output:       no
# sequence reporting threshold:    E-value <= 1e-05
# number of worker threads:        16
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

Query:       silva.eukarya  [M=1734]
Scores for complete hits:
    E-value  score  bias  Sequence                              start    end  Description
    ------- ------ -----  --------                              -----  -----  -----------
          0 1615.9  33.6  NODE_1673_length_3345_cov_4.424113      926   2655 
    5.4e-31  109.6   8.4  NODE_555625_length_362_cov_19.235088      6    362 
    7.4e-31  109.2   5.3  NODE_432962_length_403_cov_2.220859       2    366 
    1.9e-30  107.8   2.8  NODE_555721_length_348_cov_5.531365       5    235 
    5.8e-30  106.2   1.8  NODE_64016_length_805_cov_2.559066      762    399 
    2.8e-29  104.0   8.2  NODE_555812_length_338_cov_11.570881      8    329 
    4.5e-29  103.3  12.1  NODE_28832_length_1081_cov_5.266932     799   1081 
    1.4e-28  101.7   4.9  NODE_556499_length_256_cov_24.329609     25    252 
    1.6e-28  101.4   4.8  NODE_556708_length_237_cov_8.731250     232      2 
      4e-28  100.1   6.4  NODE_556469_length_259_cov_10.241758    246     15 
    8.3e-28   99.1  12.0  NODE_18132_length_1295_cov_12.020525    294      1 
    1.7e-27   98.1   5.4  NODE_556728_length_236_cov_10.798742      6    233 
    2.1e-27   97.8   3.5  NODE_556864_length_225_cov_13.155405    224      3 
    2.8e-27   97.3   4.3  NODE_556410_length_266_cov_25.947090     36    263 
    2.3e-26   94.3   3.8  NODE_556875_length_224_cov_12.435374    223      8 
    3.6e-26   93.6   4.8  NODE_555855_length_332_cov_2.443137       1    332 
    9.9e-26   92.2   5.7  NODE_555902_length_326_cov_3.779116       2    326 
    1.7e-25   91.4   7.5  NODE_48235_length_892_cov_16.266258     630    885 
    1.8e-25   91.4   2.9  NODE_556762_length_233_cov_4.185897       2    231 
    3.3e-25   90.4   3.4  NODE_556468_length_259_cov_11.802198    258      5 
    2.1e-24   87.8   8.7  NODE_556454_length_261_cov_35.967391    253      1 
    2.8e-24   87.4   7.1  NODE_555845_length_333_cov_9.601562     329     10 
    3.3e-24   87.2   6.6  NODE_555869_length_330_cov_1.786561       4    322 
      2e-23   84.6   6.0  NODE_556727_length_236_cov_14.660377     10    234 
    2.1e-23   84.5   9.9  NODE_187098_length_551_cov_2.795359     287    542 
    5.2e-23   83.2   6.6  NODE_460271_length_394_cov_6.041009      17    274 
    6.4e-23   82.9   8.6  NODE_556328_length_276_cov_13.437186    254      1 
      2e-22   81.2   6.2  NODE_555959_length_320_cov_11.818930    320      2 
    3.7e-22   80.4  11.9  NODE_384998_length_421_cov_4.706395     142    421 
    5.1e-22   79.9   5.9  NODE_556018_length_315_cov_6.941176       1    314 
    5.8e-22   79.7  10.7  NODE_197466_length_540_cov_2.660907     265      1 
    5.8e-22   79.7   5.2  NODE_856_length_4535_cov_19.581875        3    257 
    1.1e-21   78.8   4.5  NODE_555718_length_349_cov_10.955882      4    260 
    1.7e-21   78.2   7.3  NODE_557164_length_206_cov_3.341085       8    206 
    2.7e-21   77.5   6.7  NODE_556038_length_313_cov_3.093220     310      2 
    2.8e-21   77.5   3.8  NODE_557054_length_212_cov_6.014815       1    206 
    4.1e-21   76.9   5.5  NODE_557121_length_209_cov_1.492424     197      1 
    4.1e-21   76.9   2.6  NODE_556974_length_218_cov_2.056738       1    214 
    4.7e-21   76.7   5.3  NODE_556409_length_266_cov_74.306878     14    266 
      7e-21   76.1  10.8  NODE_556229_length_287_cov_3.085714     253      1 
    1.5e-20   75.1  14.1  NODE_556458_length_260_cov_42.049180      1    259 
    1.8e-20   74.8   4.4  NODE_556813_length_229_cov_2.888158     228     33 
    1.9e-20   74.7   4.4  NODE_16155_length_1354_cov_21.691464     34    288 
    3.9e-20   73.7   2.3  NODE_557143_length_207_cov_4.061538       1    205 
    1.2e-19   72.1   7.0  NODE_557337_length_198_cov_2.206612       8    197 
    1.2e-19   72.0   2.6  NODE_557210_length_204_cov_1.362205       1    202 
    1.6e-18   68.3   7.2  NODE_336982_length_443_cov_0.846995     419    218 
    2.2e-18   67.9   7.8  NODE_557407_length_194_cov_20.564103    191      2 
    2.4e-18   67.8   5.0  NODE_559015_length_125_cov_67.583333    117      5 
    4.9e-18   66.7   8.5  NODE_35269_length_1001_cov_16.839827     17    328 
    7.2e-18   66.1   1.2  NODE_557015_length_215_cov_2.275362     215     34 
    8.1e-18   66.0   9.1  NODE_557262_length_202_cov_25.728000      9    201 
    9.9e-18   65.7   6.1  NODE_556828_length_227_cov_17.273333      2    218 
    1.7e-17   64.9   4.8  NODE_559512_length_112_cov_31.742857    107      6 
    1.1e-16   62.2   3.5  NODE_557645_length_183_cov_3.207547      13    181 
    1.7e-16   61.6   4.8  NODE_35498_length_999_cov_1.926247      251     53 
    2.5e-16   61.1   9.2  NODE_556855_length_226_cov_1.926174       7    226 
    2.8e-16   60.9   8.3  NODE_273893_length_478_cov_1.588529     297    470 
    3.1e-16   60.8   4.9  NODE_557445_length_193_cov_1.801724      11    185 
    4.3e-16   60.3   6.9  NODE_557835_length_172_cov_6.852632       6    169 
    6.1e-16   59.8   4.4  NODE_556074_length_309_cov_27.900862      4    308 
    6.6e-16   59.7   6.6  NODE_557673_length_181_cov_7.067308      10    181 
    7.3e-16   59.5   4.8  NODE_557189_length_205_cov_2.609375     205      5 
    9.6e-16   59.1   3.5  NODE_108383_length_669_cov_3.785473     521    665 
    9.7e-16   59.1   6.5  NODE_557860_length_170_cov_11.483871      5    168 
    1.1e-15   58.9   8.4  NODE_380248_length_423_cov_1.803468     221     48 
    1.1e-15   58.9   6.8  NODE_557850_length_171_cov_38.361702      8    171 
    1.5e-15   58.5   6.6  NODE_557891_length_168_cov_5.142857     164      1 
    3.3e-15   57.3   3.8  NODE_559104_length_122_cov_24.733333    122      5 
    3.7e-15   57.2   6.3  NODE_557837_length_172_cov_6.452632       2    169 
      4e-15   57.0   5.5  NODE_556182_length_293_cov_11.375000    292      1 
    4.2e-15   57.0   4.0  NODE_559192_length_120_cov_8.093023      99      1 
      6e-15   56.5   4.4  NODE_559833_length_104_cov_13.518519     99      1 
    7.2e-15   56.2   2.7  NODE_557522_length_188_cov_5.738739     184      6 
    7.9e-15   56.1   3.8  NODE_557808_length_173_cov_7.968750     169      2 
    1.7e-14   54.9   3.6  NODE_557458_length_192_cov_1.452174       6    189 
    1.9e-14   54.8   4.2  NODE_557346_length_197_cov_14.050000    196      6 
    2.9e-14   54.2   5.4  NODE_560002_length_102_cov_4.080000      97      1 
    4.3e-14   53.7   5.0  NODE_556214_length_289_cov_6.839623       5    259 
      5e-14   53.4   7.7  NODE_3185_length_2571_cov_16.783881    1849   1504 
    5.4e-14   53.3   4.4  NODE_560397_length_96_cov_8.736842        2     96 
    7.9e-14   52.8   5.0  NODE_557910_length_167_cov_3.244444       2    167 
    2.8e-13   50.9   4.0  NODE_561254_length_86_cov_4.777778        2     86 
      3e-13   50.8   3.8  NODE_557451_length_192_cov_10.947826    191     12 
    3.3e-13   50.7   1.0  NODE_556398_length_268_cov_3.204188     262    133 
    3.9e-13   50.5   6.5  NODE_556278_length_282_cov_1.341463     133    279 
    4.2e-13   50.3   6.0  NODE_286478_length_470_cov_2.687023     153      4 
    4.9e-13   50.1  10.8  NODE_555686_length_354_cov_3.642599     164      8 
    6.2e-13   49.8   9.2  NODE_280058_length_474_cov_6.430730     176      4 
    1.2e-12   48.9   9.9  NODE_555832_length_336_cov_6.849421     165      7 
    1.2e-12   48.9  11.0  NODE_555710_length_351_cov_6.664234     190    346 
    2.4e-12   47.8   8.7  NODE_555987_length_318_cov_8.294606     159    315 
    2.5e-12   47.8  12.0  NODE_18132_length_1295_cov_12.020525    702    361 
    2.7e-12   47.7   7.7  NODE_557452_length_192_cov_9.669565      11    170 
    3.6e-12   47.3   9.5  NODE_202356_length_535_cov_37.456332    375    530 
    3.7e-12   47.3   2.2  NODE_557474_length_191_cov_4.201754     187      4 
      7e-12   46.3   3.8  NODE_557219_length_203_cov_3.801587     201      6 
    8.6e-12   46.0   4.1  NODE_558255_length_154_cov_5.000000     153     11 
    1.3e-11   45.4   3.6  NODE_558485_length_145_cov_15.176471      3    145 
    1.3e-11   45.4   9.1  NODE_556071_length_310_cov_1.901288     162      2 
      2e-11   44.8   5.1  NODE_557230_length_203_cov_1.769841       4    200 
    2.1e-11   44.7   2.6  NODE_558677_length_137_cov_24.300000    137     38 
    2.5e-11   44.5   3.7  NODE_559215_length_119_cov_93.642857     83      3 
    2.9e-11   44.3   3.7  NODE_558487_length_145_cov_3.132353     143      1 
    5.4e-11   43.4   2.4  NODE_558764_length_134_cov_5.403509     132      5 
    7.7e-11   42.9   6.6  NODE_556754_length_234_cov_4.414013       2    229 
    1.1e-10   42.3   7.3  NODE_558290_length_153_cov_3.184211       5    149 
    1.3e-10   42.1  12.8  NODE_16490_length_1343_cov_16.184044    860    524 
    1.8e-10   41.6  10.0  NODE_432922_length_403_cov_3.355828     250    399 
    2.6e-10   41.1   9.2  NODE_557936_length_166_cov_4.629213       6    160 
    2.7e-10   41.0   0.7  NODE_559000_length_126_cov_4.530612     121      1 
    2.9e-10   40.9   7.9  NODE_558201_length_155_cov_3.807692       5    149 
    3.8e-10   40.6  10.1  NODE_482000_length_388_cov_0.836013     255     23 
    5.2e-10   40.1   7.6  NODE_558308_length_152_cov_9.973333       5    149 
    5.2e-10   40.1   4.9  NODE_556429_length_264_cov_14.780749    263      2 
    6.8e-10   39.7   1.8  NODE_558969_length_127_cov_17.800000      8    123 
    8.9e-10   39.3   4.1  NODE_556296_length_280_cov_5.477833       7    153 
    1.2e-09   38.9   7.9  NODE_3108_length_2596_cov_7.942834      607    925 
    1.3e-09   38.8   1.6  NODE_558800_length_133_cov_5.696429       8    123 
    1.4e-09   38.7   3.1  NODE_561162_length_87_cov_9.700000       87      1 
    1.9e-09   38.2  11.2  NODE_557706_length_179_cov_3.049020      26    175 
    2.7e-09   37.7   2.7  NODE_558174_length_155_cov_9.012821       8    123 
    6.4e-09   36.5   7.3  NODE_49222_length_886_cov_1.417800      481    825 
    8.4e-09   36.1   9.3  NODE_556226_length_287_cov_5.295238     148    287 
    8.9e-09   36.0   2.4  NODE_558428_length_147_cov_4.142857       7    147 
    1.4e-08   35.4   6.9  NODE_558137_length_156_cov_4.151899       7    152 
    1.7e-08   35.1   1.6  NODE_559001_length_126_cov_4.122449     124      1 
    2.4e-08   34.6   2.2  NODE_210700_length_527_cov_7.422222       3    109 
    3.7e-08   34.0   1.7  NODE_558999_length_126_cov_8.836735     119     12 
    4.5e-08   33.7   2.8  NODE_558444_length_146_cov_6.014493     141      1 
    4.9e-08   33.6   5.4  NODE_324873_length_449_cov_0.930108     119      1 
    6.8e-08   33.1   3.7  NODE_560679_length_93_cov_35.500000      23     92 
    6.9e-08   33.1  14.3  NODE_88457_length_718_cov_9.736349      411    687 
    9.6e-08   32.6   4.7  NODE_557589_length_185_cov_6.314815     183      2 
    1.9e-07   31.6   2.7  NODE_558541_length_143_cov_2.696970       2    142 
      2e-07   31.6  12.4  NODE_107065_length_672_cov_1.689076     311    642 
      2e-07   31.5   4.0  NODE_557786_length_175_cov_4.265306       9    145 
    2.1e-07   31.5   9.5  NODE_35573_length_998_cov_5.279045      786    993 
    2.6e-07   31.2   5.0  NODE_557527_length_188_cov_3.045045       4    187 
    2.8e-07   31.1   7.4  NODE_556282_length_281_cov_3.524510     147    277 
    4.4e-07   30.4   1.4  NODE_559324_length_117_cov_5.750000     110      1 
    4.7e-07   30.3   2.4  NODE_176665_length_563_cov_3.648148     562    490 
      5e-07   30.2   9.6  NODE_556156_length_299_cov_4.378378     126      3 
    6.2e-07   29.9   4.6  NODE_557551_length_187_cov_5.190909     186      2 
    1.1e-06   29.1   8.1  NODE_8382_length_1752_cov_14.712239    1239    909 
    1.4e-06   28.7   1.6  NODE_557144_length_207_cov_3.315385       2     83 
    1.4e-06   28.7   7.2  NODE_69983_length_780_cov_3.260313      724    374 
    3.3e-06   27.5   0.9  NODE_561446_length_84_cov_10.000000       6     77 
    4.7e-06   27.0   1.1  NODE_560240_length_98_cov_3.619048        3     98 
    5.1e-06   26.9  11.7  NODE_36672_length_986_cov_2.869087      585    908 
    6.8e-06   26.5   0.9  NODE_557186_length_205_cov_7.132812     204    123 
    6.9e-06   26.5   1.5  NODE_561936_length_78_cov_5.000000       77      5 
    8.4e-06   26.2   7.4  NODE_347234_length_438_cov_0.927978     172      2 
    8.8e-06   26.1   1.3  NODE_556863_length_225_cov_17.986486      2     83 
    9.7e-06   26.0   1.5  NODE_559943_length_103_cov_18.961538      3    103 


Annotation for each hit :
>> NODE_1673_length_3345_cov_4.424113  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 ! 1615.9  33.6         0         1      1733 [.       926      2655 ..       926      2656 ..      3345    0.97

>> NODE_413467_length_410_cov_2.399399  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  326.8   8.9   1.5e-96       667      1071 ..         3       409 ..         1       410 []       410    0.96

>> NODE_3693_length_2416_cov_4.865327  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  283.5  14.0   1.8e-83       850      1644 ..      1132      1903 ..      1112      1927 ..      2416    0.85

>> NODE_8382_length_1752_cov_14.712239  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  274.1   9.8   1.3e-80       863      1629 ..       832        90 ..       852        69 ..      1752    0.83

>> NODE_3108_length_2596_cov_7.942834  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  270.0  17.0   2.1e-79       835      1626 ..       985      1740 ..       967      1754 ..      2596    0.84

>> NODE_35269_length_1001_cov_16.839827  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  259.7  26.1   2.8e-76       858      1468 ..       401       998 ..       380      1001 .]      1001    0.88

>> NODE_62224_length_813_cov_7.716033  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  253.9  11.9   1.5e-74       911      1629 ..         7       693 ..         1       713 [.       813    0.83

>> NODE_30052_length_1065_cov_9.051619  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  253.8  16.1   1.6e-74       855      1626 ..       282      1028 ..       263      1038 ..      1065    0.85

>> NODE_3185_length_2571_cov_16.783881  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  250.7  13.7   1.4e-73       846      1626 ..      1434       670 ..      1452       648 ..      2571    0.81

>> NODE_6403_length_1938_cov_9.062332  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  243.4  15.4   2.3e-71       848      1628 ..       889      1637 ..       869      1660 ..      1938    0.83

>> NODE_94797_length_701_cov_11.048077  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  214.0   9.4   1.7e-62      1089      1626 ..        22       553 ..         4       573 ..       701    0.87

>> NODE_90989_length_711_cov_11.678233  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  208.9  20.6   5.8e-61       867      1582 ..        11       700 ..         1       711 []       711    0.83

>> NODE_18305_length_1291_cov_2.130972  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  207.8  20.2   1.3e-60       854      1534 ..       681         4 ..       701         1 ..      1291    0.78

>> NODE_102100_length_683_cov_20.465347  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  204.3   9.8   1.5e-59      1089      1626 ..        10       535 ..         4       555 ..       683    0.87

>> NODE_433100_length_403_cov_1.702454  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  199.5   1.2   4.1e-58      1443      1733 ..         1       293 [.         1       294 [.       403    0.92

>> NODE_76612_length_755_cov_1.479351  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  196.0   3.2   4.6e-57       992      1624 ..         2       603 ..         1       623 [.       755    0.82

>> NODE_17343_length_1316_cov_17.736885  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  183.0   8.2   3.9e-53      1093      1624 ..      1315       798 ..      1316       778 ..      1316    0.85

>> NODE_283259_length_472_cov_19.792405  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  180.9  12.4   1.7e-52       863      1313 ..        29       470 ..         9       472 .]       472    0.85

>> NODE_141874_length_609_cov_5.768797  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  173.7   7.0   2.5e-50       859      1316 ..       157       607 ..       136       609 .]       609    0.86

>> NODE_16490_length_1343_cov_16.184044  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  172.8  11.3   4.7e-50       850      1315 ..       460         5 ..       480         1 ..      1343    0.87

>> NODE_255860_length_490_cov_7.818402  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  168.6  10.5   8.8e-49      1089      1581 ..         6       484 ..         2       488 ..       490    0.84

>> NODE_142584_length_608_cov_17.885122  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  161.0  15.5   1.7e-46       847      1315 ..       147       606 ..       129       608 .]       608    0.85

>> NODE_195526_length_542_cov_2.081720  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  158.8   7.4     8e-46       877      1293 ..       408         3 ..       429         1 ..       542    0.84

>> NODE_126360_length_634_cov_21.023339  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  156.6  11.6   3.7e-45       850      1302 ..       444         2 ..       464         1 ..       634    0.85

>> NODE_442142_length_400_cov_1.386997  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  151.3   6.3   1.5e-43       952      1319 ..       368         2 ..       390         1 ..       400    0.80

>> NODE_253016_length_492_cov_2.734940  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  150.3   6.3   2.8e-43      1123      1625 ..       492         5 ..       492         1 ..       492    0.82

>> NODE_11774_length_1534_cov_2.389156  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  149.7  14.2   4.4e-43      1118      1626 ..         1       494 [.         1       515 [.      1534    0.85

>> NODE_316776_length_453_cov_1.247340  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  141.6   8.6   1.2e-40      1155      1617 ..       452         1 ..       453         1 ..       453    0.84

>> NODE_69215_length_783_cov_2.383853  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  135.3   6.6   9.9e-39      1164      1624 ..       783       326 ..       783       312 ..       783    0.85

>> NODE_432918_length_403_cov_6.852761  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  129.9  10.4   4.2e-37       903      1309 ..         3       400 ..         1       403 []       403    0.82

>> NODE_315196_length_454_cov_1.007958  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  128.7   4.7   9.8e-37      1158      1620 ..       454         1 ..       454         1 ..       454    0.84

>> NODE_229907_length_510_cov_4.718245  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  128.4   8.2   1.2e-36      1247      1629 ..       506       141 ..       509       120 ..       510    0.87

>> NODE_555825_length_337_cov_12.196154  
