# target name                        accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  sq len strand   E-value  score  bias  description of target
#                ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
NODE_1673_length_3345_cov_4.424113   -          archaea              -              558    1373    1778    2699    1758    2707    3345    +      3e-101  344.6  11.3  -
NODE_126360_length_634_cov_21.023339 -          archaea              -              383     993     615       1     629       1     634    -     1.1e-98  336.1  16.9  -
NODE_17343_length_1316_cov_17.736885 -          archaea              -              785    1378    1315     665    1316     662    1316    -     3.6e-97  331.1  10.7  -
NODE_35498_length_999_cov_1.926247   -          archaea              -               10     794     880       1     888       1     999    -     7.9e-96  326.7  20.2  -
NODE_11774_length_1534_cov_2.389156  -          archaea              -              810    1378       1     625       1     628    1534    +     7.4e-91  310.2  17.9  -
NODE_283259_length_472_cov_19.792405 -          archaea              -              539    1004       2     471       1     472     472    +     7.5e-83  283.7  14.2  -
NODE_255860_length_490_cov_7.818402  -          archaea              -              776    1234       1     486       1     489     490    +       3e-82  281.7   9.6  -
NODE_195526_length_542_cov_2.081720  -          archaea              -              451     985     538       1     542       1     542    -     2.9e-81  278.4   9.2  -
NODE_253016_length_492_cov_2.734940  -          archaea              -              815    1278     492       3     492       1     492    -     2.1e-80  275.6   7.0  -
NODE_69215_length_783_cov_2.383853   -          archaea              -              856    1378     783     204     783     201     783    -     5.4e-78  267.6   7.4  -
NODE_187098_length_551_cov_2.795359  -          archaea              -              328     833       7     547       2     551     551    +     2.1e-77  265.7  22.1  -
NODE_108383_length_669_cov_3.785473  -          archaea              -              130     723       6     664       2     668     669    +     5.7e-77  264.3   6.3  -
NODE_25613_length_1132_cov_14.159242 -          archaea              -              936    1378       4     495       2     498    1132    +     8.5e-77  263.7   9.5  -
NODE_185456_length_553_cov_1.430672  -          archaea              -              937    1378     553      59     553      56     553    -     2.2e-76  262.3   8.4  -
NODE_13264_length_1463_cov_3.969697  -          archaea              -              936    1378       3     498       1     501    1463    +     2.1e-75  259.1  10.9  -
NODE_30653_length_1057_cov_2.940816  -          archaea              -              936    1378       3     496       1     499    1057    +       3e-75  258.6   7.0  -
NODE_229907_length_510_cov_4.718245  -          archaea              -              936    1378     507      12     509       9     510    -     6.4e-75  257.5  10.2  -
NODE_197466_length_540_cov_2.660907  -          archaea              -              327     819     536       2     540       1     540    -     9.1e-75  257.0  18.0  -
NODE_555721_length_348_cov_5.531365  -          archaea              -             1057    1377       2     345       1     348     348    +     1.2e-74  256.6   5.5  -
NODE_64016_length_805_cov_2.559066   -          archaea              -              936    1377     762     277     788     273     805    -     1.5e-74  256.3   2.6  -
NODE_384998_length_421_cov_4.706395  -          archaea              -              410     822       7     421       1     421     421    +     5.5e-74  254.4  14.2  -
NODE_102104_length_683_cov_2.912541  -          archaea              -             1057    1377     682     339     683     335     683    -       8e-74  253.8   4.8  -
NODE_316776_length_453_cov_1.247340  -          archaea              -              847    1268     452       1     453       1     453    -     2.8e-73  252.0   7.4  -
NODE_315196_length_454_cov_1.007958  -          archaea              -              850    1271     454       1     454       1     454    -     2.6e-72  248.8   3.4  -
NODE_432962_length_403_cov_2.220859  -          archaea              -              935    1304       1     391       1     400     403    +     6.5e-71  244.2   4.7  -
NODE_435775_length_402_cov_21.172308 -          archaea              -              936    1296       3     387       2     400     402    +     1.1e-70  243.4   6.5  -
NODE_551359_length_369_cov_12.804795 -          archaea              -              936    1277     367       3     369       1     369    -     2.4e-70  242.3   5.4  -
NODE_432918_length_403_cov_6.852761  -          archaea              -              606     998       3     399       1     403     403    +     1.2e-69  240.0  10.9  -
NODE_153009_length_593_cov_2.571705  -          archaea              -               64     615     585       2     592       1     593    -     1.4e-67  233.1  20.5  -
NODE_36672_length_986_cov_2.869087   -          archaea              -               10     562     372     985     364     986     986    +     2.3e-66  229.1  15.8  -
NODE_202356_length_535_cov_37.456332 -          archaea              -              275     727      19     533       5     535     535    +     1.5e-64  223.1  22.7  -
NODE_177483_length_562_cov_3.041237  -          archaea              -                5     298     248     562     244     562     562    +     1.7e-64  223.0   8.1  -
NODE_555625_length_362_cov_19.235088 -          archaea              -              936    1271       5     362       2     362     362    +     4.8e-64  221.5   8.3  -
NODE_442142_length_400_cov_1.386997  -          archaea              -              631    1009     392       2     400       1     400    -     4.9e-64  221.4   7.1  -
NODE_555825_length_337_cov_12.196154 -          archaea              -              564     886     333      13     337       3     337    -     1.3e-61  213.4  10.8  -
NODE_280058_length_474_cov_6.430730  -          archaea              -              297     726     469       1     473       1     474    -     4.2e-61  211.7  17.1  -
NODE_273893_length_478_cov_1.588529  -          archaea              -              302     731       1     468       1     476     478    +     6.5e-61  211.1  15.5  -
NODE_380248_length_423_cov_1.803468  -          archaea              -              384     778     394       1     413       1     423    -       2e-60  209.5  10.3  -
NODE_856_length_4535_cov_19.581875   -          archaea              -             1026    1378       2     390       1     393    4535    +     5.7e-58  201.4   8.3  -
NODE_555845_length_333_cov_9.601562  -          archaea              -              936    1239     330       3     332       1     333    -     5.6e-57  198.1   7.3  -
NODE_286478_length_470_cov_2.687023  -          archaea              -              297     716     460       3     470       1     470    -     6.2e-57  197.9  15.7  -
NODE_555869_length_330_cov_1.786561  -          archaea              -              936    1235       3     325       1     330     330    +     6.6e-56  194.5   6.1  -
NODE_555579_length_367_cov_32.975862 -          archaea              -              747    1088       4     365       1     367     367    +     6.7e-56  194.5   5.8  -
NODE_16155_length_1354_cov_21.691464 -          archaea              -             1024    1378      31     421       8     424    1354    +     1.9e-55  193.0   7.5  -
NODE_555686_length_354_cov_3.642599  -          archaea              -              385     729     349       4     353       1     354    -     3.7e-55  192.0  17.8  -
NODE_49222_length_886_cov_1.417800   -          archaea              -               47     540     227     884     204     886     886    +       6e-55  191.3  11.9  -
NODE_555710_length_351_cov_6.664234  -          archaea              -              385     727       6     349       2     351     351    +       1e-54  190.6  18.6  -
NODE_555902_length_326_cov_3.779116  -          archaea              -              968    1271       1     326       1     326     326    +       1e-54  190.6   5.6  -
NODE_460271_length_394_cov_6.041009  -          archaea              -             1025    1364      16     390       6     394     394    +     1.9e-54  189.7  12.1  -
NODE_555832_length_336_cov_6.849421  -          archaea              -              404     729     330       4     336       1     336    -     2.9e-54  189.1  16.6  -
NODE_555581_length_367_cov_5.724138  -          archaea              -              775    1108     363       2     367       1     367    -     6.4e-54  187.9   8.6  -
NODE_556038_length_313_cov_3.093220  -          archaea              -              936    1222     311       2     313       1     313    -     7.8e-53  184.3   5.1  -
NODE_555987_length_318_cov_8.294606  -          archaea              -              411     727       1     318       1     318     318    +     1.3e-52  183.6  13.1  -
NODE_556229_length_287_cov_3.085714  -          archaea              -              542     822     281       1     287       1     287    -     3.8e-52  182.1  11.4  -
NODE_3594_length_2446_cov_2.862389   -          archaea              -                4     257    2172    2446    2169    2446    2446    +     1.2e-51  180.4   3.0  -
NODE_432922_length_403_cov_3.355828  -          archaea              -              383     715      65     399      44     403     403    +     1.3e-51  180.3  13.9  -
NODE_556468_length_259_cov_11.802198 -          archaea              -             1028    1278     258       3     259       1     259    -     1.4e-51  180.2   2.8  -
NODE_556328_length_276_cov_13.437186 -          archaea              -              545     821     276       1     276       1     276    -     2.1e-51  179.6   9.4  -
NODE_555812_length_338_cov_11.570881 -          archaea              -              775    1088       2     336       1     338     338    +     4.6e-51  178.5   7.0  -
NODE_556074_length_309_cov_27.900862 -          archaea              -              946    1230       1     308       1     309     309    +     1.3e-50  177.0   3.4  -
NODE_556071_length_310_cov_1.901288  -          archaea              -              410     712     304       1     310       1     310    -     1.4e-50  176.9  11.8  -
NODE_88457_length_718_cov_9.736349   -          archaea              -               10     462     186     718     177     718     718    +     5.2e-50  175.0  22.8  -
NODE_555718_length_349_cov_10.955882 -          archaea              -             1026    1324       3     307       1     330     349    +     1.8e-49  173.2   8.0  -
NODE_235987_length_505_cov_4.245327  -          archaea              -              208     659       1     504       1     505     505    +     1.9e-49  173.1  30.3  -
NODE_107065_length_672_cov_1.689076  -          archaea              -                9     518      96     672      88     672     672    +     2.4e-49  172.8  20.4  -
NODE_556454_length_261_cov_35.967391 -          archaea              -              566     822     257       1     261       1     261    -     3.2e-48  169.1   8.8  -
NODE_556409_length_266_cov_74.306878 -          archaea              -             1024    1273      11     266       5     266     266    +     4.1e-48  168.7   5.1  -
NODE_122987_length_640_cov_2.291297  -          archaea              -                4     241     260       2     263       1     640    -     8.7e-48  167.6   2.1  -
NODE_10967_length_1577_cov_3.510000  -          archaea              -               10     469    1072    1577    1063    1577    1577    +     1.1e-47  167.3  12.8  -
NODE_336982_length_443_cov_0.846995  -          archaea              -             1058    1378     441      92     443      89     443    -     1.1e-47  167.3   9.5  -
NODE_628_length_5266_cov_2.970707    -          archaea              -                4     241     260       2     263       1    5266    -     6.9e-47  164.6   1.6  -
NODE_556458_length_260_cov_42.049180 -          archaea              -              590     848       2     259       1     260     260    +     7.8e-47  164.5  14.5  -
NODE_556182_length_293_cov_11.375000 -          archaea              -              947    1216     293       1     293       1     293    -     1.7e-45  160.0   4.7  -
NODE_324873_length_449_cov_0.930108  -          archaea              -              319     698     444       1     449       1     449    -     2.3e-45  159.6  18.3  -
NODE_555855_length_332_cov_2.443137  -          archaea              -              805    1113       1     332       1     332     332    +     2.4e-45  159.5   4.6  -
NODE_556156_length_299_cov_4.378378  -          archaea              -              404     695     293       1     299       1     299    -     6.1e-44  154.9  14.7  -
NODE_556278_length_282_cov_1.341463  -          archaea              -              440     716       3     280       1     282     282    +     1.4e-43  153.7  14.2  -
NODE_556855_length_226_cov_1.926174  -          archaea              -              600     822       4     226       1     226     226    +     1.7e-43  153.4   9.4  -
NODE_556828_length_227_cov_17.273333 -          archaea              -              608     830       3     222       1     227     227    +     2.6e-42  149.5   6.5  -
NODE_556018_length_315_cov_6.941176  -          archaea              -              811    1102       1     314       1     315     315    +     5.5e-42  148.4   5.8  -
NODE_556226_length_287_cov_5.295238  -          archaea              -              425     709       2     287       1     287     287    +     8.1e-42  147.9  12.3  -
NODE_354804_length_434_cov_15.495798 -          archaea              -              275     631     421       3     430       1     434    -     1.1e-41  147.5  16.6  -
NODE_556410_length_266_cov_25.947090 -          archaea              -              748    1004       3     264       1     266     266    +     2.1e-41  146.5   5.2  -
NODE_557164_length_206_cov_3.341085  -          archaea              -              646     853       2     206       1     206     206    +     3.2e-41  145.9   7.8  -
NODE_555959_length_320_cov_11.818930 -          archaea              -              805    1101     320       3     320       1     320    -     6.5e-41  144.9   5.0  -
NODE_556282_length_281_cov_3.524510  -          archaea              -              426     703       2     280       1     281     281    +     2.2e-40  143.1  13.6  -
NODE_556469_length_259_cov_10.241758 -          archaea              -              768    1020     259       4     259       1     259    -     7.7e-40  141.3   7.3  -
NODE_35379_length_1000_cov_3.400867  -          archaea              -                9     363     398      10     408       6    1000    -     1.1e-39  140.8  14.6  -
NODE_556111_length_306_cov_2.655022  -          archaea              -              385     684       6     306       2     306     306    +       5e-39  138.6  14.3  -
NODE_556875_length_224_cov_12.435374 -          archaea              -              679     887     223      17     224       2     224    -     6.4e-39  138.3   4.3  -
NODE_557121_length_209_cov_1.492424  -          archaea              -              641     850     207       2     209       1     209    -     2.3e-38  136.4   5.8  -
NODE_556499_length_256_cov_24.329609 -          archaea              -              761    1006       5     255       1     256     256    +     4.1e-38  135.6   5.2  -
NODE_557262_length_202_cov_25.728000 -          archaea              -              644     844       2     201       1     202     202    +       1e-37  134.3   9.6  -
NODE_556393_length_269_cov_1.286458  -          archaea              -              419     684       3     269       1     269     269    +     3.1e-37  132.7  11.3  -
NODE_220530_length_518_cov_18.435374 -          archaea              -               10     364      15     413       7     444     518    +     8.3e-37  131.3  15.4  -
NODE_557445_length_193_cov_1.801724  -          archaea              -              644     832       3     188       1     193     193    +     8.4e-37  131.3   5.2  -
NODE_556813_length_229_cov_2.888158  -          archaea              -             1089    1291     226      19     229       3     229    -     1.2e-36  130.8   5.2  -
NODE_35573_length_998_cov_5.279045   -          archaea              -               10     335     633     996     624     998     998    +     2.3e-36  129.8  15.7  -
NODE_556404_length_267_cov_1.673684  -          archaea              -              419     682     265       1     267       1     267    -     4.5e-36  128.9  11.8  -
NODE_556708_length_237_cov_8.731250  -          archaea              -              776    1004     237       2     237       1     237    -     5.5e-36  128.6   5.0  -
NODE_557015_length_215_cov_2.275362  -          archaea              -             1105    1305     214       9     215       3     215    -       8e-36  128.0   0.9  -
NODE_557337_length_198_cov_2.206612  -          archaea              -              652     849       2     197       1     198     198    +     8.1e-36  128.0   7.3  -
NODE_557407_length_194_cov_20.564103 -          archaea              -              658     849     191       2     193       1     194    -     1.6e-35  127.0   8.0  -
NODE_556728_length_236_cov_10.798742 -          archaea              -              776    1004       1     234       1     236     236    +     7.2e-35  124.9   5.7  -
NODE_557673_length_181_cov_7.067308  -          archaea              -              644     822       3     181       1     181     181    +     1.7e-34  123.7   6.5  -
NODE_557645_length_183_cov_3.207547  -          archaea              -              641     824       3     183       1     183     183    +     5.5e-34  121.9   4.0  -
NODE_557837_length_172_cov_6.452632  -          archaea              -              656     825       3     172       1     172     172    +     6.4e-34  121.7   6.9  -
NODE_556754_length_234_cov_4.414013  -          archaea              -              947    1156       1     231       1     234     234    +     8.7e-34  121.3   4.7  -
NODE_547250_length_370_cov_18.334471 -          archaea              -              382     664      86     369      65     370     370    +     3.3e-33  119.4  11.8  -
NODE_556864_length_225_cov_13.155405 -          archaea              -              785    1001     224       3     225       1     225    -     3.6e-33  119.2   3.9  -
NODE_556727_length_236_cov_14.660377 -          archaea              -              775    1003       4     235       1     236     236    +     1.2e-32  117.5   6.7  -
NODE_556821_length_228_cov_3.655629  -          archaea              -              459     684       2     228       1     228     228    +     1.3e-32  117.4   8.5  -
NODE_557835_length_172_cov_6.852632  -          archaea              -              658     825       6     172       1     172     172    +     1.8e-32  116.9   7.5  -
NODE_557910_length_167_cov_3.244444  -          archaea              -              655     819       2     166       1     167     167    +     2.3e-32  116.6   5.0  -
NODE_556762_length_233_cov_4.185897  -          archaea              -              785    1006       2     232       1     233     233    +     2.8e-32  116.3   3.4  -
NODE_557850_length_171_cov_38.361702 -          archaea              -              652     822       2     171       1     171     171    +     3.4e-32  116.0   6.9  -
NODE_557860_length_170_cov_11.483871 -          archaea              -              658     824       5     170       1     170     170    +     6.2e-32  115.1   7.0  -
NODE_556296_length_280_cov_5.477833  -          archaea              -             1131    1372       2     277       1     280     280    +     6.3e-32  115.1   8.4  -
NODE_68483_length_786_cov_2.956276   -          archaea              -               10     325     448     782     440     786     786    +       8e-32  114.8   9.8  -
NODE_555828_length_337_cov_1.173077  -          archaea              -               10     315      19     333      11     337     337    +     1.3e-31  114.1  10.5  -
NODE_557891_length_168_cov_5.142857  -          archaea              -              658     822     164       1     168       1     168    -     1.5e-31  113.8   6.6  -
NODE_556398_length_268_cov_3.204188  -          archaea              -             1149    1378     267       4     268       1     268    -     1.6e-31  113.8   2.6  -
NODE_556214_length_289_cov_6.839623  -          archaea              -              829    1083       8     286       1     289     289    +     3.2e-31  112.8   4.8  -
NODE_555888_length_328_cov_14.051793 -          archaea              -               55     337     327       2     328       1     328    -     3.7e-31  112.6  10.6  -
NODE_557219_length_203_cov_3.801587  -          archaea              -              936    1120     202       2     203       1     203    -       1e-30  111.1   4.1  -
NODE_347234_length_438_cov_0.927978  -          archaea              -                9     314     343       2     351       1     438    -     3.6e-30  109.3  16.2  -
NODE_555735_length_347_cov_2.503704  -          archaea              -              329     627     347       5     347       1     347    -     4.2e-30  109.1  13.7  -
NODE_557230_length_203_cov_1.769841  -          archaea              -              936    1116       3     201       1     203     203    +     1.9e-29  106.9   4.8  -
NODE_482000_length_388_cov_0.836013  -          archaea              -              410     814     379      31     385       9     388    -     2.5e-29  106.5  14.9  -
NODE_557452_length_192_cov_9.669565  -          archaea              -              564     736       5     177       1     192     192    +     6.9e-29  105.0   8.3  -
NODE_17366_length_1316_cov_1.449556  -          archaea              -               10     301     980    1315     970    1316    1316    +     7.2e-29  105.0  12.5  -
NODE_555777_length_343_cov_9.428571  -          archaea              -               43     313     316       1     336       1     343    -     8.9e-29  104.7  12.2  -
NODE_1673_length_3345_cov_4.424113   -          archaea              -                6     484     906    1538     901    1566    3345    +       2e-28  103.5   6.0  -
NODE_556429_length_264_cov_14.780749 -          archaea              -              867    1104     263       3     264       1     264    -     3.1e-28  102.9   3.6  -
NODE_555772_length_344_cov_3.202247  -          archaea              -               10     291      12     337       5     344     344    +     3.6e-28  102.7   7.8  -
NODE_556245_length_285_cov_4.461538  -          archaea              -               53     302       2     284       1     285     285    +     5.5e-28  102.1   7.8  -
NODE_557706_length_179_cov_3.049020  -          archaea              -              543     715       3     175       1     179     179    +     6.1e-28  101.9  11.9  -
NODE_557551_length_187_cov_5.190909  -          archaea              -              935    1102     187       2     187       1     187    -       1e-27  101.2   4.4  -
NODE_547273_length_370_cov_2.573379  -          archaea              -               10     291      45     364      36     369     370    +     1.1e-27  101.0  11.5  -
NODE_555847_length_333_cov_2.984375  -          archaea              -              298     584     331       2     333       1     333    -     1.4e-27  100.8  10.7  -
NODE_227515_length_512_cov_2.560920  -          archaea              -               10     286     224     511     215     512     512    +     1.4e-27  100.7   5.3  -
NODE_58759_length_830_cov_3.262948   -          archaea              -               10     289     504     827     495     830     830    +     1.6e-27  100.5  11.5  -
NODE_555788_length_341_cov_3.284091  -          archaea              -               10     301       4     340       2     341     341    +     2.4e-27  100.0  13.8  -
NODE_543991_length_371_cov_1.241497  -          archaea              -                9     284      49     370      40     371     371    +       3e-27   99.6  12.1  -
NODE_929_length_4344_cov_2.196625    -          archaea              -               10     346    3966    4343    3958    4344    4344    +     4.2e-27   99.1  10.5  -
NODE_19276_length_1265_cov_3.538721  -          archaea              -               10     301     929    1264     920    1265    1265    +     4.5e-27   99.0   9.3  -
NODE_557936_length_166_cov_4.629213  -          archaea              -              567     728       3     164       1     166     166    +     5.4e-27   98.8   9.8  -
NODE_556707_length_237_cov_9.368750  -          archaea              -              398     627     233       3     237       1     237    -     6.7e-27   98.5  11.9  -
NODE_556082_length_308_cov_3.679654  -          archaea              -               45     313     304       1     308       1     308    -     8.4e-27   98.2   8.0  -
NODE_558255_length_154_cov_5.000000  -          archaea              -              679     826     153       7     154       1     154    -     1.5e-26   97.3   4.6  -
NODE_60969_length_819_cov_2.702156   -          archaea              -                9     301     482     818     472     819     819    +     1.8e-26   97.1  10.0  -
NODE_556974_length_218_cov_2.056738  -          archaea              -              803    1009       1     217       1     218     218    +     1.8e-26   97.0   3.3  -
NODE_558487_length_145_cov_3.132353  -          archaea              -              679     822     143       1     145       1     145    -     2.1e-26   96.8   3.8  -
NODE_557527_length_188_cov_3.045045  -          archaea              -              936    1101       3     186       1     188     188    +     2.3e-26   96.7   3.7  -
NODE_556199_length_291_cov_1.887850  -          archaea              -               45     291     287       8     291       1     291    -     2.3e-26   96.7  12.6  -
NODE_535461_length_373_cov_1.597973  -          archaea              -                9     260     305       8     315       2     373    -     2.6e-26   96.5  12.2  -
NODE_558485_length_145_cov_15.176471 -          archaea              -              679     822       3     145       1     145     145    +     3.1e-26   96.3   3.6  -
NODE_210700_length_527_cov_7.422222  -          archaea              -             1170    1378       1     241       1     244     527    +     4.2e-26   95.8   6.1  -
NODE_556506_length_255_cov_8.016854  -          archaea              -              383     617      20     255       7     255     255    +     2.2e-25   93.5   8.2  -
NODE_556371_length_271_cov_5.675258  -          archaea              -               64     313     263       1     269       1     271    -     2.7e-25   93.2  13.1  -
NODE_556970_length_218_cov_2.212766  -          archaea              -              413     627     218       3     218       1     218    -       3e-25   93.0  10.4  -
NODE_51786_length_869_cov_2.073232   -          archaea              -               10     301     335       2     345       1     869    -     3.4e-25   92.8  10.6  -
NODE_558137_length_156_cov_4.151899  -          archaea              -              566     715       3     152       1     156     156    +     5.6e-25   92.1   7.2  -
NODE_557008_length_215_cov_5.159420  -          archaea              -              410     620       3     214       1     215     215    +     8.8e-25   91.5   8.2  -
NODE_557786_length_175_cov_4.265306  -          archaea              -              935    1083       7     171       2     174     175    +     9.6e-25   91.3   3.6  -
NODE_557589_length_185_cov_6.314815  -          archaea              -              936    1101     184       2     185       1     185    -       1e-24   91.3   5.0  -
NODE_555989_length_318_cov_3.290456  -          archaea              -               43     301     291       2     311       1     318    -     1.1e-24   91.1  10.5  -
NODE_557054_length_212_cov_6.014815  -          archaea              -              805    1009       1     210       1     212     212    +     1.4e-24   90.8   4.0  -
NODE_558201_length_155_cov_3.807692  -          archaea              -              569     720       3     154       1     155     155    +     2.1e-24   90.2   8.2  -
NODE_558308_length_152_cov_9.973333  -          archaea              -              569     715       3     149       1     152     152    +     3.4e-24   89.5   7.7  -
NODE_558290_length_153_cov_3.184211  -          archaea              -              569     715       3     149       1     153     153    +     5.8e-24   88.8   7.8  -
NODE_557189_length_205_cov_2.609375  -          archaea              -              811    1010     205       2     205       1     205    -     6.5e-24   88.6   5.2  -
NODE_555979_length_319_cov_3.909091  -          archaea              -              325     593       3     314       1     319     319    +     7.9e-24   88.3  10.3  -
NODE_557210_length_204_cov_1.362205  -          archaea              -              805    1002       1     203       1     204     204    +       9e-24   88.1   2.9  -
NODE_556003_length_317_cov_2.745833  -          archaea              -               10     261     303       8     311       3     317    -     1.3e-23   87.6  11.1  -
NODE_557758_length_176_cov_26.202020 -          archaea              -              936    1089     174       3     176       1     176    -     1.3e-23   87.5   3.6  -
NODE_557095_length_210_cov_12.120301 -          archaea              -              411     619     210       1     210       1     210    -     1.9e-23   87.1   8.2  -
NODE_557143_length_207_cov_4.061538  -          archaea              -              805    1002       1     206       1     207     207    +       2e-23   87.0   2.6  -
NODE_556190_length_292_cov_6.809302  -          archaea              -               55     301     291       2     292       1     292    -     2.8e-23   86.5  10.5  -
NODE_558800_length_133_cov_5.696429  -          archaea              -             1155    1282       1     129       1     133     133    +     3.5e-23   86.2   1.4  -
NODE_315724_length_454_cov_0.748011  -          archaea              -              410     811     378      17     390       8     454    -     3.8e-23   86.1  13.0  -
NODE_558428_length_147_cov_4.142857  -          archaea              -             1131    1271       2     147       1     147     147    +     4.8e-23   85.7   2.7  -
NODE_433100_length_403_cov_1.702454  -          archaea              -             1117    1373      17     337       1     345     403    +     9.7e-23   84.7   0.0  -
NODE_556110_length_306_cov_2.938865  -          archaea              -              338     593     304       6     306       1     306    -     1.9e-22   83.7   9.5  -
NODE_558969_length_127_cov_17.800000 -          archaea              -             1155    1278       1     125       1     127     127    +     2.4e-22   83.4   1.9  -
NODE_558444_length_146_cov_6.014493  -          archaea              -             1133    1271     144       1     146       1     146    -       3e-22   83.1   2.7  -
NODE_558174_length_155_cov_9.012821  -          archaea              -             1157    1296       2     142       1     154     155    +       4e-22   82.7   3.3  -
NODE_557088_length_211_cov_1.044776  -          archaea              -              401     594     204      11     211       4     211    -     1.1e-21   81.2   6.2  -
NODE_557750_length_177_cov_4.470000  -          archaea              -              934    1083       7     174       2     177     177    +     2.1e-21   80.3   4.5  -
NODE_557325_length_199_cov_4.360656  -          archaea              -              411     601     199       8     199       1     199    -     2.8e-21   79.9   8.0  -
NODE_556903_length_222_cov_5.862069  -          archaea              -               64     258      36     220      15     222     222    +     3.2e-21   79.7   5.4  -
NODE_535744_length_373_cov_1.358108  -          archaea              -                9     263     292      21     300       3     373    -     3.8e-21   79.4   7.6  -
NODE_558764_length_134_cov_5.403509  -          archaea              -             1154    1277     131       3     134       1     134    -     5.1e-21   79.0   2.4  -
NODE_559192_length_120_cov_8.093023  -          archaea              -              764     880     116       1     120       1     120    -     1.2e-20   77.8   3.8  -
NODE_557346_length_197_cov_14.050000 -          archaea              -              818    1008     196       3     197       1     197    -     1.4e-20   77.6   4.7  -
NODE_558541_length_143_cov_2.696970  -          archaea              -             1089    1222       4     142       1     143     143    +     2.1e-20   77.0   2.3  -
NODE_557187_length_205_cov_5.843750  -          archaea              -              419     620       3     205       1     205     205    +     5.4e-20   75.6   8.4  -
NODE_556039_length_313_cov_3.059322  -          archaea              -              208     464       1     311       1     313     313    +     5.7e-20   75.5  18.5  -
NODE_558999_length_126_cov_8.836735  -          archaea              -             1165    1286     125       3     126       1     126    -       1e-19   74.7   1.8  -
NODE_557969_length_164_cov_2.931034  -          archaea              -              946    1089     164       3     164       1     164    -     1.1e-19   74.6   3.5  -
NODE_176665_length_563_cov_3.648148  -          archaea              -             1204    1378     563     358     563     355     563    -     1.2e-19   74.5   2.1  -
NODE_559512_length_112_cov_31.742857 -          archaea              -              776     883     112       6     112       1     112    -     1.3e-19   74.4   5.1  -
NODE_559215_length_119_cov_93.642857 -          archaea              -              747     861     117       4     119       1     119    -     2.9e-19   73.2   3.9  -
NODE_559000_length_126_cov_4.530612  -          archaea              -             1151    1270     123       1     126       1     126    -     3.1e-19   73.1   0.8  -
NODE_559015_length_125_cov_67.583333 -          archaea              -              775     887     123      12     125       4     125    -     3.5e-19   72.9   5.6  -
