# nhmmer :: search a DNA model, alignment, or sequence against a DNA database
# HMMER 3.4 (Aug 2023); http://hmmer.org/
# Copyright (C) 2023 Howard Hughes Medical Institute.
# Freely distributed under the BSD open source license.
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# query file:                      /opt/nesi/CS400_centos7_bdw/CheckM/1.2.3-foss-2023a-Python-3.11.6/data/hmms_ssu/SSU_bacteria.hmm
# target sequence database:        -
# output directed to file:         /nesi/nobackup/uoo04534/Norway/7_quality_second_check/6109_072_S129/ssu_finder/ssu.bacteria.txt
# hits tabular output:             /nesi/nobackup/uoo04534/Norway/7_quality_second_check/6109_072_S129/ssu_finder/ssu.bacteria.table.txt
# show alignments in output:       no
# sequence reporting threshold:    E-value <= 1e-05
# number of worker threads:        16
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

Query:       bacteria  [M=1523]
Scores for complete hits:
    E-value  score  bias  Sequence                              start    end  Description
    ------- ------ -----  --------                              -----  -----  -----------
          0 1381.3  33.4  NODE_3693_length_2416_cov_4.865327      472   2019 
   2.8e-149  503.9  36.6  NODE_35269_length_1001_cov_16.839827      3    999 
   4.4e-147  496.6  22.7  NODE_153009_length_593_cov_2.571705     588      2 
     5e-142  479.9   6.7  NODE_253016_length_492_cov_2.734940     492      2 
   9.9e-142  478.9  25.7  NODE_202356_length_535_cov_37.456332      1    533 
   1.2e-141  478.6  19.7  NODE_197466_length_540_cov_2.660907     539      1 
   1.6e-139  471.5  13.7  NODE_10967_length_1577_cov_3.510000    1058   1577 
   8.1e-138  465.9  11.0  NODE_185456_length_553_cov_1.430672     553     52 
   1.7e-137  464.9  11.8  NODE_255860_length_490_cov_7.818402       1    489 
     3e-137  464.0  10.2  NODE_25613_length_1132_cov_14.159242      2    502 
   1.3e-136  461.9   8.0  NODE_69215_length_783_cov_2.383853      783    198 
   2.7e-135  457.6   8.3  NODE_30653_length_1057_cov_2.940816       1    503 
   1.1e-134  455.6  13.1  NODE_13264_length_1463_cov_3.969697       1    504 
   3.5e-134  453.9  16.5  NODE_273893_length_478_cov_1.588529       1    472 
   1.6e-132  448.4  13.1  NODE_229907_length_510_cov_4.718245     509      7 
   1.1e-131  445.6  17.6  NODE_286478_length_470_cov_2.687023     470      2 
   1.3e-131  445.4  32.5  NODE_235987_length_505_cov_4.245327       1    505 
   4.5e-131  443.6  19.2  NODE_280058_length_474_cov_6.430730     474      2 
   4.6e-131  443.5  14.2  NODE_283259_length_472_cov_19.792405      2    471 
   1.7e-130  441.7   9.2  NODE_195526_length_542_cov_2.081720     542      1 
   8.3e-129  436.1  23.4  NODE_88457_length_718_cov_9.736349      170    718 
   1.1e-128  435.7   2.7  NODE_64016_length_805_cov_2.559066      767    270 
   2.8e-128  434.4  14.0  NODE_49222_length_886_cov_1.417800      176    884 
   4.6e-126  427.0   9.3  NODE_316776_length_453_cov_1.247340     453      1 
   7.2e-125  423.0   5.0  NODE_315196_length_454_cov_1.007958     454      1 
   7.8e-121  409.7  21.9  NODE_107065_length_672_cov_1.689076      83    672 
   4.1e-116  394.0   8.3  NODE_435775_length_402_cov_21.172308      2    399 
   8.1e-115  389.8   5.4  NODE_432962_length_403_cov_2.220859       2    399 
   7.3e-111  376.6  14.1  NODE_384998_length_421_cov_4.706395       1    421 
   7.8e-111  376.6   7.0  NODE_551359_length_369_cov_12.804795    369      2 
   3.2e-110  374.5  11.4  NODE_432918_length_403_cov_6.852761       2    403 
   3.1e-109  371.3  18.7  NODE_354804_length_434_cov_15.495798    433      2 
   3.5e-108  367.8  20.4  NODE_220530_length_518_cov_18.435374      7    517 
   2.1e-107  365.2  22.0  NODE_324873_length_449_cov_0.930108     449      1 
   8.8e-107  363.1   8.6  NODE_555625_length_362_cov_19.235088      2    362 
     2e-104  355.4   9.6  NODE_16155_length_1354_cov_21.691464      2    427 
   5.2e-104  353.9  16.6  NODE_432922_length_403_cov_3.355828       1    401 
   2.8e-101  344.9   9.3  NODE_380248_length_423_cov_1.803468     408      1 
   3.6e-101  344.6   6.1  NODE_555579_length_367_cov_32.975862      3    366 
    5.3e-99  337.4  10.4  NODE_856_length_4535_cov_19.581875        3    396 
    1.3e-98  336.1   9.8  NODE_555581_length_367_cov_5.724138     365      1 
    2.6e-97  331.7  15.5  NODE_460271_length_394_cov_6.041009       4    391 
    1.5e-96  329.3  10.8  NODE_555825_length_337_cov_12.196154    336      4 
    3.7e-96  328.0   8.0  NODE_555845_length_333_cov_9.601562     332      1 
    1.2e-94  323.0   7.1  NODE_442142_length_400_cov_1.386997     398      3 
    1.4e-94  322.8  16.7  NODE_35379_length_1000_cov_3.400867     414      2 
    1.5e-94  322.7  18.1  NODE_555686_length_354_cov_3.642599     354      3 
    4.2e-94  321.1   5.9  NODE_555902_length_326_cov_3.779116       1    326 
      7e-94  320.4   7.8  NODE_555812_length_338_cov_11.570881      2    337 
    1.4e-92  316.1  18.6  NODE_555710_length_351_cov_6.664234       1    349 
    7.2e-92  313.7  15.2  NODE_547250_length_370_cov_18.334471      1    369 
    2.7e-90  308.5   6.6  NODE_556038_length_313_cov_3.093220     313      2 
    4.1e-90  307.9  16.7  NODE_555832_length_336_cov_6.849421     335      3 
    7.3e-90  307.1   7.0  NODE_555869_length_330_cov_1.786561       1    329 
    2.2e-89  305.5   9.8  NODE_555718_length_349_cov_10.955882      3    349 
    7.8e-89  303.7   4.5  NODE_556074_length_309_cov_27.900862      1    309 
      2e-88  302.3   5.1  NODE_555855_length_332_cov_2.443137       1    332 
    5.2e-86  294.3   6.4  NODE_555959_length_320_cov_11.818930    320      1 
    2.2e-83  285.7  15.2  NODE_555735_length_347_cov_2.503704     347      3 
    3.5e-83  285.0  14.6  NODE_35573_length_998_cov_5.279045      616    998 
    6.5e-83  284.1   6.0  NODE_556018_length_315_cov_6.941176       1    315 
    8.1e-83  283.8  10.5  NODE_929_length_4344_cov_2.196625      3953   4344 
    8.7e-83  283.7  11.2  NODE_556071_length_310_cov_1.901288     310      1 
    5.8e-82  280.9  13.0  NODE_555987_length_318_cov_8.294606       1    317 
    6.3e-82  280.8   8.7  NODE_68483_length_786_cov_2.956276      430    785 
    1.1e-80  276.7   5.5  NODE_556182_length_293_cov_11.375000    293      1 
    5.3e-80  274.5  19.2  NODE_556039_length_313_cov_3.059322       1    313 
    2.8e-78  268.8  11.6  NODE_1673_length_3345_cov_4.424113     1776   2700 
    5.7e-78  267.7  11.8  NODE_555847_length_333_cov_2.984375     333      1 
    9.6e-77  263.7  11.8  NODE_555828_length_337_cov_1.173077      10    337 
    1.6e-76  262.9   3.3  NODE_556468_length_259_cov_11.802198    258      2 
    2.3e-76  262.4  11.0  NODE_336982_length_443_cov_0.846995     443     84 
    4.9e-76  261.3   6.1  NODE_556409_length_266_cov_74.306878      2    266 
    9.6e-76  260.3   8.5  NODE_556494_length_257_cov_2.172222       2    257 
    1.9e-75  259.4  16.3  NODE_556357_length_272_cov_13.194872    271      1 
    2.1e-75  259.2  14.5  NODE_556156_length_299_cov_4.378378     298      1 
    2.1e-74  255.9  14.5  NODE_556111_length_306_cov_2.655022       1    306 
    6.1e-74  254.4   5.5  NODE_556410_length_266_cov_25.947090      2    266 
    1.5e-72  249.8  16.6  NODE_347234_length_438_cov_0.927978     355      1 
    3.5e-72  248.5  15.0  NODE_556278_length_282_cov_1.341463       2    280 
    1.1e-71  246.9  12.0  NODE_556110_length_306_cov_2.938865     305      1 
    1.3e-71  246.6   9.9  NODE_556328_length_276_cov_13.437186    276      1 
    1.4e-71  246.6  11.7  NODE_555979_length_319_cov_3.909091       2    319 
    1.5e-71  246.4  11.7  NODE_556229_length_287_cov_3.085714     281      1 
    1.5e-71  246.4   5.2  NODE_556499_length_256_cov_24.329609      1    254 
    5.6e-71  244.6   5.8  NODE_556214_length_289_cov_6.839623       1    289 
    4.7e-70  241.5   7.5  NODE_556469_length_259_cov_10.241758    259      2 
    4.8e-70  241.5  13.6  NODE_556282_length_281_cov_3.524510       1    281 
      6e-70  241.1  12.4  NODE_556226_length_287_cov_5.295238       1    287 
    4.4e-69  238.3  14.6  NODE_556458_length_260_cov_42.049180      1    260 
    2.8e-68  235.6  11.2  NODE_556393_length_269_cov_1.286458       1    269 
    1.1e-67  233.6   5.1  NODE_227515_length_512_cov_2.560920     209    512 
    1.8e-67  233.0   9.7  NODE_19276_length_1265_cov_3.538721     911   1265 
    1.9e-67  232.9  10.5  NODE_60969_length_819_cov_2.702156      466    819 
    5.4e-67  231.4  15.1  NODE_555777_length_343_cov_9.428571     343      1 
    5.6e-67  231.3   9.2  NODE_556454_length_261_cov_35.967391    258      1 
    1.8e-66  229.6   7.9  NODE_556752_length_234_cov_9.063694       1    234 
    4.5e-66  228.3  13.0  NODE_547273_length_370_cov_2.573379      34    370 
      6e-66  227.9  14.7  NODE_17366_length_1316_cov_1.449556     966   1316 
    8.7e-66  227.4  11.7  NODE_556404_length_267_cov_1.673684     267      1 
    1.3e-65  226.8  10.0  NODE_555772_length_344_cov_3.202247       5    344 
    3.3e-65  225.4   5.0  NODE_556429_length_264_cov_14.780749    264      1 
    6.5e-65  224.5   5.7  NODE_556728_length_236_cov_10.798742      1    236 
    9.2e-65  224.0   4.9  NODE_556708_length_237_cov_8.731250     237      1 
    1.6e-64  223.2   8.9  NODE_556542_length_252_cov_10.765714    252      1 
    3.2e-64  222.2  11.5  NODE_51786_length_869_cov_2.073232      350      1 
    4.2e-64  221.8   6.9  NODE_556727_length_236_cov_14.660377      3    236 
    7.4e-64  221.0  11.4  NODE_555888_length_328_cov_14.051793    328      2 
    7.7e-64  220.9  12.5  NODE_58759_length_830_cov_3.262948      488    830 
    3.1e-63  218.9  13.5  NODE_555989_length_318_cov_3.290456     318      1 
    4.9e-63  218.2   3.8  NODE_556864_length_225_cov_13.155405    225      1 
    9.1e-63  217.4  15.5  NODE_555788_length_341_cov_3.284091       1    341 
    1.3e-62  216.8   3.6  NODE_556762_length_233_cov_4.185897       1    232 
      7e-62  214.4   4.2  NODE_556875_length_224_cov_12.435374    223      8 
    7.2e-62  214.4  12.5  NODE_556780_length_232_cov_37.541935      1    225 
    7.9e-62  214.2   6.5  NODE_556754_length_234_cov_4.414013       1    233 
    6.6e-61  211.2   7.1  NODE_556813_length_229_cov_2.888158     229      2 
    8.9e-61  210.8   6.8  NODE_556828_length_227_cov_17.273333      2    227 
    2.5e-60  209.3   9.0  NODE_556082_length_308_cov_3.679654     308      1 
    2.8e-60  209.1  13.4  NODE_543991_length_371_cov_1.241497      34    371 
    6.1e-60  208.0   5.3  NODE_556398_length_268_cov_3.204188     268      3 
    8.4e-60  207.5  11.5  NODE_556296_length_280_cov_5.477833       2    278 
    2.3e-58  202.8   5.7  NODE_557121_length_209_cov_1.492424     206      1 
    3.4e-58  202.2   7.9  NODE_557164_length_206_cov_3.341085       1    206 
    3.7e-58  202.1   9.1  NODE_556506_length_255_cov_8.016854      10    254 
    5.5e-58  201.5   5.0  NODE_557230_length_203_cov_1.769841       1    201 
    1.1e-57  200.5   1.2  NODE_557015_length_215_cov_2.275362     214      5 
      2e-57  199.7   8.4  NODE_535744_length_373_cov_1.358108     305      2 
    2.7e-57  199.3   4.0  NODE_557219_length_203_cov_3.801587     203      3 
    7.8e-57  197.7   9.6  NODE_556855_length_226_cov_1.926174       1    226 
    4.8e-56  195.1   3.9  NODE_557054_length_212_cov_6.014815       1    210 
    7.1e-56  194.5   9.2  NODE_556701_length_238_cov_18.086957    237      1 
    7.9e-56  194.4  11.6  NODE_556707_length_237_cov_9.368750     237      2 
    1.6e-55  193.3   3.2  NODE_556974_length_218_cov_2.056738       1    217 
      2e-55  193.1  13.9  NODE_535461_length_373_cov_1.597973     318      2 
    2.9e-55  192.5   6.0  NODE_557096_length_210_cov_4.323308     210      1 
    2.6e-54  189.3   8.3  NODE_556821_length_228_cov_3.655629       1    228 
    3.5e-54  188.9   4.1  NODE_557107_length_210_cov_0.864662       1    210 
    4.5e-54  188.6   2.7  NODE_557210_length_204_cov_1.362205       1    204 
    1.2e-53  187.2   2.5  NODE_557143_length_207_cov_4.061538       1    207 
    1.7e-53  186.6   9.7  NODE_557262_length_202_cov_25.728000      1    202 
    2.1e-53  186.4   7.7  NODE_557337_length_198_cov_2.206612       1    198 
    2.5e-53  186.1   4.9  NODE_557527_length_188_cov_3.045045       1    188 
      3e-53  185.8   4.4  NODE_557551_length_187_cov_5.190909     186      1 
    4.2e-53  185.4   9.4  NODE_556245_length_285_cov_4.461538       1    285 
    1.1e-52  183.9   5.2  NODE_557445_length_193_cov_1.801724       2    193 
    1.3e-52  183.7   8.1  NODE_210700_length_527_cov_7.422222       1    248 
    1.6e-52  183.4  13.9  NODE_556199_length_291_cov_1.887850     291      1 
    6.7e-52  181.4   8.5  NODE_557407_length_194_cov_20.564103    193      1 
    8.1e-52  181.1   7.5  NODE_556815_length_229_cov_2.592105       2    229 
    1.2e-51  180.6   9.9  NODE_556831_length_227_cov_5.433333       1    227 
    1.7e-51  180.0  13.0  NODE_556003_length_317_cov_2.745833     311      2 
    1.8e-51  180.0   4.7  NODE_102104_length_683_cov_2.912541     681    333 
      3e-51  179.2   4.8  NODE_557589_length_185_cov_6.314815     185      1 
    3.9e-51  178.8   5.7  NODE_555721_length_348_cov_5.531365       3    345 
    1.6e-50  176.8   6.6  NODE_557088_length_211_cov_1.044776     211      3 
    5.7e-50  175.0  11.7  NODE_556190_length_292_cov_6.809302     292      1 
    1.8e-49  173.3   3.2  NODE_557786_length_175_cov_4.265306       4    174 
    2.7e-49  172.8  13.7  NODE_556371_length_271_cov_5.675258     265      1 
    4.4e-49  172.0  10.3  NODE_556970_length_218_cov_2.212766     218      2 
    4.6e-49  172.0   5.4  NODE_557189_length_205_cov_2.609375     205      2 
    6.6e-49  171.5   8.1  NODE_557008_length_215_cov_5.159420       2    214 
    5.9e-48  168.3   3.9  NODE_557645_length_183_cov_3.207547       4    183 
    6.1e-48  168.3   4.7  NODE_557458_length_192_cov_1.452174       1    192 
    6.5e-48  168.2   4.6  NODE_557346_length_197_cov_14.050000    197      3 
    9.2e-48  167.7   4.5  NODE_557758_length_176_cov_26.202020    176      2 
    2.3e-47  166.4   8.0  NODE_557095_length_210_cov_12.120301    210      2 
    2.5e-47  166.3  14.4  NODE_426285_length_406_cov_0.781155     155    403 
      4e-46  162.2   4.1  NODE_557522_length_188_cov_5.738739     188      2 
    6.1e-46  161.6   6.3  NODE_557673_length_181_cov_7.067308       2    181 
    9.6e-46  161.0   4.0  NODE_557451_length_192_cov_10.947826    192      1 
    2.4e-45  159.7   3.4  NODE_557474_length_191_cov_4.201754     191      1 
    2.8e-45  159.4   5.5  NODE_557750_length_177_cov_4.470000       5    177 
    4.1e-45  158.9   8.4  NODE_557452_length_192_cov_9.669565       2    177 
    2.9e-44  156.1   7.4  NODE_556863_length_225_cov_17.986486      1    220 
    6.5e-44  154.9   8.1  NODE_557325_length_199_cov_4.360656     199      2 
    1.2e-43  154.0  12.1  NODE_557706_length_179_cov_3.049020       3    176 
    1.4e-43  153.8   4.7  NODE_557969_length_164_cov_2.931034     164      2 
    5.1e-43  152.0   6.7  NODE_557144_length_207_cov_3.315385       1    205 
    9.2e-43  151.1   7.5  NODE_557860_length_170_cov_11.483871      3    170 
    1.1e-42  150.9   7.4  NODE_557850_length_171_cov_38.361702      1    171 
    1.2e-42  150.7   6.0  NODE_558085_length_158_cov_10.790123      2    157 
    1.3e-42  150.6   4.3  NODE_558010_length_162_cov_11.411765      1    161 
    2.1e-42  149.9   8.3  NODE_557187_length_205_cov_5.843750       1    205 
    2.7e-42  149.6   8.1  NODE_557835_length_172_cov_6.852632       2    171 
    3.3e-42  149.3  10.0  NODE_557936_length_166_cov_4.629213       2    164 
    5.6e-42  148.5   2.0  NODE_387855_length_420_cov_1.419825     193    420 
      7e-42  148.2   3.3  NODE_176665_length_563_cov_3.648148     563    351 
    1.6e-41  147.0   7.1  NODE_557837_length_172_cov_6.452632       2    171 
      2e-41  146.7   7.1  NODE_557891_length_168_cov_5.142857     166      1 
    6.3e-41  145.0   9.7  NODE_558184_length_155_cov_7.192308     154      2 
      9e-41  144.5   4.8  NODE_557808_length_173_cov_7.968750     173      1 
    1.1e-40  144.3   9.6  NODE_557186_length_205_cov_7.132812     205      4 
    3.3e-40  142.6   5.1  NODE_557910_length_167_cov_3.244444       2    167 
    4.9e-40  142.1   4.2  NODE_558173_length_155_cov_9.064103       1    155 
    2.1e-39  140.0   8.3  NODE_558308_length_152_cov_9.973333       1    150 
    2.4e-39  139.8   8.4  NODE_558201_length_155_cov_3.807692       1    155 
    2.7e-39  139.6   7.3  NODE_558137_length_156_cov_4.151899       3    154 
    4.6e-39  138.9   5.5  NODE_35479_length_999_cov_6.066161        1    205 
      6e-39  138.5   8.3  NODE_558290_length_153_cov_3.184211       1    150 
    6.5e-38  135.0   5.6  NODE_523701_length_376_cov_1.688963       1    204 
    1.4e-37  134.0  10.6  NODE_558246_length_154_cov_11.961039      2    147 
    2.5e-37  133.1   3.2  NODE_558444_length_146_cov_6.014493     145      1 
      3e-37  132.9   4.1  NODE_558174_length_155_cov_9.012821       2    154 
    4.8e-37  132.2   5.2  NODE_558255_length_154_cov_5.000000     153      1 
    3.5e-36  129.3   3.1  NODE_558428_length_147_cov_4.142857       1    147 
    6.8e-36  128.4   7.7  NODE_557141_length_207_cov_22.830769      1    200 
    7.3e-36  128.3   5.3  NODE_559015_length_125_cov_67.583333    124      4 
    1.5e-35  127.2   6.0  NODE_556903_length_222_cov_5.862069      30    221 
    2.3e-35  126.6  14.9  NODE_482000_length_388_cov_0.836013     381     23 
    3.9e-35  125.9   3.8  NODE_559192_length_120_cov_8.093023     120      1 
    4.4e-35  125.7   1.5  NODE_558800_length_133_cov_5.696429       1    132 
    3.1e-34  122.9   4.0  NODE_558487_length_145_cov_3.132353     145      1 
    3.1e-34  122.9   7.9  NODE_557965_length_164_cov_4.114943       2    163 
    4.1e-34  122.5   3.2  NODE_558391_length_149_cov_10.763889      1    149 
    4.8e-34  122.2   2.2  NODE_558969_length_127_cov_17.800000      1    126 
    5.9e-34  122.0   3.8  NODE_558485_length_145_cov_15.176471      1    145 
      9e-34  121.3   2.5  NODE_344244_length_439_cov_2.138122     229      7 
    1.1e-33  121.1   1.8  NODE_558999_length_126_cov_8.836735     126      1 
    1.4e-33  120.7   2.8  NODE_558541_length_143_cov_2.696970       1    142 
    1.5e-33  120.6   2.7  NODE_558764_length_134_cov_5.403509     134      2 
    2.2e-33  120.0   3.9  NODE_558574_length_142_cov_1.815385     142      2 
    1.6e-32  117.2   5.4  NODE_558679_length_137_cov_17.666667    137      1 
    2.3e-32  116.7  14.6  NODE_315724_length_454_cov_0.748011     414      9 
    2.4e-32  116.6  10.1  NODE_558258_length_154_cov_4.480519     138      1 
    3.4e-32  116.1   0.8  NODE_559000_length_126_cov_4.530612     126      1 
    4.3e-32  115.8   5.2  NODE_559512_length_112_cov_31.742857    112      1 
    7.1e-32  115.1   5.7  NODE_557311_length_200_cov_1.390244       2    200 
    8.8e-32  114.7   4.1  NODE_559215_length_119_cov_93.642857    118      2 
    1.5e-31  113.9   8.2  NODE_559111_length_122_cov_4.488889       2    121 
      2e-31  113.5   6.8  NODE_45191_length_913_cov_4.093301      912    731 
    4.6e-31  112.4   1.7  NODE_559001_length_126_cov_4.122449     126      1 
    9.2e-31  111.4   3.9  NODE_559104_length_122_cov_24.733333    122     12 
    1.1e-30  111.1   7.9  NODE_556544_length_252_cov_3.680000     252     76 
    1.6e-30  110.6   3.1  NODE_218658_length_520_cov_1.063205     282    468 
    1.8e-30  110.4   4.5  NODE_559833_length_104_cov_13.518519    104      1 
    1.9e-30  110.3   6.1  NODE_558112_length_157_cov_3.975000     157      2 
    3.9e-30  109.3   8.0  NODE_559299_length_118_cov_3.634146       1    118 
    4.2e-30  109.2   6.9  NODE_557606_length_185_cov_1.333333       3    180 
    5.2e-30  108.9   5.0  NODE_557705_length_179_cov_3.156863     179      7 
    6.8e-30  108.5   3.4  NODE_558741_length_135_cov_7.086207     135      1 
    1.2e-29  107.7   6.2  NODE_177483_length_562_cov_3.041237     251    556 
    1.4e-29  107.4  18.0  NODE_331473_length_446_cov_0.634146     446      2 
    4.8e-29  105.7   3.3  NODE_558180_length_155_cov_7.833333     155      1 
      5e-29  105.6   6.7  NODE_558254_length_154_cov_5.168831       1    153 
    5.6e-29  105.5   5.7  NODE_560002_length_102_cov_4.080000     102      1 
    1.8e-28  103.8   4.7  NODE_558939_length_128_cov_2.549020       1    127 
    2.8e-28  103.1   1.9  NODE_559324_length_117_cov_5.750000     116      1 
    1.1e-27  101.2   4.9  NODE_559088_length_123_cov_6.086957       2    123 
    1.4e-27  100.8   6.8  NODE_558162_length_155_cov_14.961538    154      1 
      3e-27   99.7   4.6  NODE_560397_length_96_cov_8.736842        1     96 
    7.5e-27   98.4   6.9  NODE_559667_length_108_cov_59.935484      2    108 
    1.1e-26   97.9   6.7  NODE_559168_length_121_cov_9.977273       1    114 
    1.7e-26   97.3   3.2  NODE_558677_length_137_cov_24.300000    137      6 
    4.1e-26   96.0   6.5  NODE_557864_length_170_cov_2.731183     170      4 
    1.2e-25   94.4   1.7  NODE_559943_length_103_cov_18.961538      1    103 
    8.8e-25   91.6   7.7  NODE_559701_length_107_cov_4.666667       1    106 
    1.4e-24   90.9  10.0  NODE_559166_length_121_cov_41.227273      2    120 
    1.9e-24   90.4   2.9  NODE_560679_length_93_cov_35.500000       1     93 
    2.4e-24   90.1   7.4  NODE_559999_length_102_cov_5.240000     101      1 
    2.8e-24   89.9   9.4  NODE_559691_length_107_cov_39.200000      1    107 
    4.8e-24   89.1   1.2  NODE_560240_length_98_cov_3.619048        1     98 
    6.6e-24   88.7  13.8  NODE_558507_length_144_cov_9.805970       6    143 
    7.3e-24   88.5   7.4  NODE_559218_length_119_cov_20.666667      2    119 
    1.3e-23   87.7   2.7  NODE_560181_length_99_cov_4.090909        2     99 
    1.5e-23   87.4   1.8  NODE_559217_length_119_cov_22.976190      2    119 
    1.6e-23   87.4   3.2  NODE_561162_length_87_cov_9.700000       87      1 
    1.7e-23   87.3   3.2  NODE_559329_length_117_cov_3.475000     116      1 
    2.2e-23   86.9   2.9  NODE_3594_length_2446_cov_2.862389     2177   2446 
    4.4e-23   85.9   3.0  NODE_560450_length_95_cov_9.222222        2     92 
    5.3e-23   85.7   4.4  NODE_561254_length_86_cov_4.777778        1     86 
    5.4e-23   85.6   7.1  NODE_558111_length_157_cov_4.125000       1    153 
      7e-23   85.3   7.7  NODE_558664_length_138_cov_3.229508       1    137 
    9.6e-23   84.8   7.6  NODE_558122_length_157_cov_2.575000       1    153 
    9.9e-23   84.8   3.3  NODE_560451_length_95_cov_8.666667       94      4 
    1.6e-22   84.1   2.9  NODE_560361_length_97_cov_5.550000        2     96 
    2.2e-22   83.6   5.5  NODE_560683_length_93_cov_9.062500       92      2 
    2.4e-22   83.5   3.2  NODE_559360_length_116_cov_2.512821       1    116 
    6.4e-22   82.1  16.0  NODE_190197_length_548_cov_1.076433     539     68 
    8.3e-22   81.7   4.1  NODE_558760_length_134_cov_15.421053      6    133 
    1.1e-21   81.3   3.1  NODE_84343_length_730_cov_2.601838        1    154 
    2.3e-21   80.2   4.5  NODE_559514_length_112_cov_14.171429    112      3 
    2.9e-21   79.9   7.4  NODE_560441_length_95_cov_15.388889      94      1 
      3e-21   79.8   1.3  NODE_628_length_5266_cov_2.970707       255      6 
    1.2e-20   77.9   4.2  NODE_560070_length_101_cov_3.041667     101      3 
    1.7e-20   77.4   1.9  NODE_122987_length_640_cov_2.291297     255      6 
    1.9e-20   77.2   9.7  NODE_470594_length_391_cov_1.391720       1    162 
    1.9e-20   77.2   6.5  NODE_559531_length_112_cov_1.571429     109      1 
      2e-20   77.1   2.2  NODE_561581_length_83_cov_17.166667      79      2 
    2.2e-20   77.0   4.8  NODE_561226_length_86_cov_12.222222       1     86 
    2.6e-20   76.8   4.9  NODE_558742_length_135_cov_4.517241       3    135 
    2.7e-20   76.7   2.4  NODE_561626_length_83_cov_5.666667        5     81 
      3e-20   76.5   4.0  NODE_559954_length_103_cov_5.461538       1     99 
    3.2e-20   76.5   2.8  NODE_561573_length_83_cov_22.000000      79      4 
    3.3e-20   76.4   2.2  NODE_561791_length_81_cov_4.000000        4     80 
    3.7e-20   76.2   2.6  NODE_561828_length_80_cov_4.666667        3     79 
    5.6e-20   75.6   2.3  NODE_561951_length_78_cov_3.000000        2     77 
    5.9e-20   75.6   2.4  NODE_561838_length_80_cov_3.666667        4     79 
